şarkı sözü;;şarkı adı
"Teoman - İki Yabancı

Yazdan kalma bir günden
Ya da çölde çay filminden
Bir sahne var aklımda
Oyuncular sanki biziz
Mutsuzuz ikimiziz
Kimi aşklar hiç bitmezmiş
Bizimkisi bitenlerden
Sevmeye yeteneksiziz
İki yabancı, iki yabancı
Birlikte ama yalnız
İki yabancıyız
İki yabancı, iki yabancı
Birlikte ama yalnız
İki yabancıyız
Hani o güneşin batışı
Bizi tanrıya inandırışı
Şu an o akşam aklımda
Ama çok zaman önceydi
Yaralarımız ağır değildi
Yine de bağışladım ben hep seni
Hem seni hem de kendimi
O kadar yoktun ki
İki yabancı, iki yabancı
Birlikte ama yalnız
İki yabancıyız
İki yabancı, iki yabancı
Birlikte ama yalnız
İki yabancıyız
Yazdan kalma birgünden
Yada çölde çay filminden
Benimde sahneler aklımda
Seninkilerden farklı ama
Artık kendini kandırma
Yoktur üstüne senin güzeli çirkin yapmakta
Suçuysa dünyaya atmakta
Neyin bildinki değerini
Benimkini bileceksin
Bunuda tabi mahvedeceksin
İki yabancı, iki yabancı
Birlikte ama yalnız
İki yabancıyız
İki yabancı, iki yabancı
Birlikte ama yalnız
İki yabancıyız
";;Teoman - İki Yabancı
"Pinhani - Dön Bak Dünyaya 

Yalnız kaldıysan
Kalkıp pencerenden bir bak
Güneş açmış mı?
Yağmur düşmüş mü?
Dön bak dünyaya
Herkes gitmişse
Sakince arkana dön bir bak
Dostun kalmış mı?
Aşkın solmuş mu?
Dön bak dünyaya
Dön bak dünyaya
Yalnız kaldıysan
Kalkıp pencerenden bir bak
Güneş açmış mı?
Yağmur düşmüş mü?
Dön bak dünyaya
Bir sonbahar kadar yalnız
Bir kış kadar savunmasız
Ya da ilkbaharsan
Yolun başındaysan
Bir sonbahar kadar yalnız
Bir kış kadar savunmasız
Ya da ilkbaharsan
Yolun başındaysan
Asla vazgeçme
Kalkıp da pencerenden bir bak
Güneş açmış mı?
Yağmur düşmüş mü?
Dön bak dünyaya";;Pinhani - Dön Bak Dünyaya 
"Yüksek Sadakat -Fener

Bazen taahhütlü gelir, almadım diyemezsin
Gelir ve ortaya yerleşir, görmeden edemezsin
Gelir ve ortaya yerleşir, bazen kaçamazsın
Gelir ve ortaya yerleşir aşk
Bazen bir bilmecedir, cevabını bulamazsın
Takar Peşine sürükler seni, gitmeden yapamazsın
Gelir ve ortaya yerleşir, bazen kaçamazsın
Gelir ve ortaya yerleşr aşk
Fenerle tararsın kara geceyi
Ararsın ömrü boyunca
Sorarsan buldun mu doğru heceyi?
Bilmem ki, bilmem ki, bilmem ki, bilmem ki
Bazen ruhun çizilir, hekimden çıkamazsın
Kırar kolu kanadı kuş gibi, rengini bulamazsın
Gelir ve ortaya yerleşir bazen, kaçamazsın
Gelir ve ortaya yerleşir aşk
Fenerle tararsın kara geceyi
Ararsın ömrü boyunca
Sorarsan buldun mu doğru heceyi?
Bilmem ki, bilmem ki, bilmem ki, bilmem ki
Ardına nasıl yazılmışsa vurulur
Yoksa taşa mı kazılmış?
Benden iyisinin bulursan eğer
Bilmem ki, bilmem ki, bilmem ki
Gerçeğin nasıl yapılmış
Denize mi yoksa havuza mı açılmış
Sakin sular arıyorsan eğer
Bilmem ki, bilmem ki, bilmem ki
Fenerle tararsın kara geceyi
Ararsın ömrü boyunca
Sorarsan buldun mu doğru heceyi?
Bilmem ki, bilmem ki
Fenerle tararsın kara geceyi
Ararsın ömrü boyunca
Sorarsan buldun mu doğru heceyi?
Bilmem ki, bilmem ki, bilmem ki, bilmem ki";;Yüksek Sadakat -Fener
"Model - Mey

Bakması ne zormuş ah o güzel yüzüne
Toplamış yine bütün güneşi üstüne
Kamaşıyor gözlerim bebeğim
Öyle gülmek olur mu gözünü seveyim
Cennet dudaklarınmış
Öp de öleyim
Aşkmış adı nerden bileyim
Böyle zulüm olur mu gözünü seveyim
Adımı sorsan söyleyemem yemin ederim
Ah ellerim titriyor
Of bir ateş basıyor
Özlemek bu dokunmakla geçmiyor
Ah (Ne olur sevgilim)
Öyle sev ki beni (Kanat kalbini)
Mey diye içeyim (Doldur sevgilim)
Kalbim tekliyor ay gel hasta gibiyim
Bakması ne zormuş ah o güzel yüzüne
Toplamış yine bütün güneşi üstüne
Kamaşıyor gözlerim bebeğim
Böyle gülmek olur mu gözünü seveyim
Cennet dudaklarınmış
Öp de öleyim
Aşkmış adı nerden bileyim
Böyle zulüm olur mu gözünü seveyim
Adımı sorsan söyleyemem yemin ederim (yemin ederim)
Ah ellerim titriyor
Of bir ateş basıyor
Özlemek bu dokunmakla geçmiyor
Ah (Ne olur sevgilim)
Öyle sev ki beni (Kanat kalbini)
Mey diye içeyim (Doldur sevgilim)
Kalbim tekliyor ay gel hasta gibiyim
Ah ellerim titriyor
Of bir ateş basıyor
Özlemek bu dokunmakla geçmiyor
Ah
Öyle sev ki beni
Mey diye içeyim
Kalbim tekliyor ay gel hasta gibiyim
Ah ellerim titriyor
Of bir ateş basıyor
Özlemek bu dokunmakla geçmiyor
Ah (Ne olur sevgilim)
Öyle sev ki beni (Kanat kalbini)
Mey diye içeyim (Doldur sevgilim)
Kalbim tekliyor ay gel hasta gibiyim";;Model - Mey
"Emre Aydın - Git 

Git gideceksen bekleme
Farklı değilsin sen de
Gideceksen bekleme
Adam olmaz, dedin senden
Adam nedir dedim içimden
Fark etmezdi değişseydim
Güvenseydim ya da salıverseydim
Git gideceksen bekleme
Farklı değilsin sen de
Gideceksen bekleme
Git gideceksen bekleme
Başka bir şey söyleme
Gideceksen bekleme
Artık olmaz, dedin senle
Çok eskitti beni bu hikaye
Tamam dedim, tamam kabul
Laf anlatılmaz ki gerçeğe
Git gideceksen bekleme
Farklı değilsin sen de
Gideceksen bekleme
Git gideceksen bekleme
Başka bir şey söyleme
Gideceksen bekleme
Ben üşümem, sen geç beni
Sıkı giyin kandırma kendini
Bir şairin, şiirinden ibaret
Tüm bildiğin, büyük ihtimalle
Git gideceksen bekleme
Farklı değilsin sen de
Gideceksen bekleme
Git gideceksen bekleme
Başka bir şey söyleme
Gideceksen bekleme";;Emre Aydın - Git 
"Duman - Haberin Yok Ölüyorum

Bakma bana öyle derin
İşim olmaz senle benim
Hiç bu kadar sevilmedin
Gözlerinden okuyorum
Haberin yok ölüyorum vay
Sorma bana nerelisin
Ne içersin, ne giyersin?
Derdim sana derman olsun
Ben gönülden okuyorum
Haberin yok ölüyorum vay
Azdı yine deli gönül
Üzerine geliyorum
Geçti yine boş bi' ömür
Gözlerinden öpüyorum
Haberin yok ölüyorum vay
Haberin yok ölüyorum vay
Haberin yok ben ölüyorum
Sen gelirken ben gidiyorum
Dermanım yok ben ölüyorum
Ayrılırken ben içiyorum
Haberin yok ben ölüyorum
Haberin yok ben ölüyorum
Haberin yok ben ölüyorum
Haberin yok ben ölüyorum
Sen gelirken ben gidiyorum
Dermanım yok ben ölüyorum
Ayrılırken ben içiyorum
Haberin yok ben ölüyorum";;Duman - Haberin Yok Ölüyorum
"Mor ve Ötesi - Bir Derdim Var

Bir derdim var artık, tutamam içimde
Gitsem nereye kadar, kalsam neye yarar?
Hiç anlatamadım, hiç anlamadılar
Herkes neden düşman, herkes neden düşman?
Unuttuk hepsini, Nuh'un nefesini
Gelme yanıma, sen başkasın, ben başka
Bir derdim var artık, tutamam içimde
Gitsem nereye kadar, kalsam neye yarar?
Hiç anlatamadım, hiç anlamadılar
Bak bu son perde, oyun yok bundan sonra
Işık yok, hiçbir şey yok, yok, yok, yok
Bir derdim var
(Bir derdim var) Bir derdim var
(Bir derdim var) Bir derdim var
(Tutamam) içimde
Bir derdim var artık, tutamam içimde
Çok teşekkür ederiz";;Mor ve Ötesi - Bir Derdim Var
"teoman - Kupa Kızı ve Sinek Valesi

Bir iskambil falında çıkmıştık birbirimize
O güzel kupa kızıydı, sinek valesiydim bense
Gece yarısı, o perşembe rastladım köprü üstünde
""Ağlama"" dedim, o ağladı trabzanlardan indiğinde
""Saçların mı ıslak yoksa ıslak mı yaşamak?"" dedim
Senin için rüzgarda hep yağmur mu var?
Gözlerin mi daldı yoksa sıkıldın mı sorulardan?
Hiç geçmez mi gözlerinden bu sonbahar?
Bir kar tanesi ol, kon dilimin ucuna
Bir kar tanesi eri ağzımda
Bir kar tanesi ol, kon dilimin ucuna
Bir kar tanesi eri ağzımda
Sırılsıklamdı, soyundu, vücuduma dokundu
Biraz pürüzlü tenimde yaşam hücrelerimi buldu
Mutluyudum, o uyudu, sarıldım sayıklarken
Tanımadığım o adları yanımda çırılçıplak
""Saçların mı ıslak yoksa ıslak mı yaşamak?"" dedim
Senin için rüzgarda hep yağmur mu var?
Gözlerin mi daldı yoksa sıkıldın mı sorulardan?
Hiç geçmez mi gözlerinden bu sonbahar?
Bir kar tanesi ol, kon dilimin ucuna
Bir kar tanesi eri ağzımda
Bir kar tanesi ol, kon dilimin ucuna
Bir kar tanesi eri ağzımda
Rüyamda gururluydum, ""Biliyordum"" diyordum
İnanmak lazımmış meğer iskambil fallarına
Uyandım, bakakaldım, hayali bir parmağın bıraktığı yazıya, pencere camının buğusuna
Hoşçakal
Bir kar tanesi ol, kon dilimin ucuna
Bir kar tanesi eri ağzımda
Bir kar tanesi ol, kon dilimin ucuna
Bir kar tanesi eri ağzımda
Eri ağzımda, eri ağzımda
Bir kar tanesi, eri ağzımda
Eri ağzımda, eri ağzımda
Bir kar tanesi of, eri ağzımda";;teoman - Kupa Kızı ve Sinek Valesi
"Athena - Kime ne 

Yasaklanmış dört bir yanımız
Yol vermiyor kör duvarlar
Kalmadı anlamımız
Sen gidince isyanım yok
Can acıtana
Benim derdim başka
Uzakta bir yerde
Sen gidince
Aklına geliyorsam eğer
Kendini görüyorsan bende
Yorma kafanı sen hiçbirine
Kime ne
Kime ne
Çal beni de
Kime ne
Al beni de
Çamur atan çok aldırma
Yetişmez elleri uzansa
Utanır soramaz bakamaz yüzüne
Sen gidince
İsyanım yok can acıtana
Benim derdim başka
Uzakta bir yerde
Sen gidince ooo
Aklına geliyorsam eğer
Kendini görüyorsan bende
Yorma kafanı sen hiçbirine
Kime ne
Kime ne
Al beni de
Kime ne
Çal beni de
Ooo
Aklına geliyorsam eğer
Kendini görüyorsan bende
Aklına geliyorsam eğer
Kendini görüyorsan bende
Yorma kafanı sen hiçbirine
Kime ne
Kime ne
Çal beni de
Kime ne
Kime ne
Çal beni de
Kime ne
Al beni de
Al beni de
Al beni de
Al beni de
Çal beni de
Çal beni de
Çal beni de";;Athena - Kime ne 
"Manga - Bir Kadın Çizeceksin

Ne kadar oldu bu hayata geleli?
Söyle, ne olacaksın büyüyünce
Diye sorulan sorular tarih oldu
Ama senin kafan hala dolu
İşte benim, işte senin, işte onun diye
Paylaşıyorsun hayatı üç kuruş sevginle
Ne? o da mı aldattı seni be?
Eee? ne kaldı geriye?
Bak sen ne yazık ki klasik bir tablosun dostum
Ne yaparsan yap boşsun
Tamam okumuşsun, ama yetmez
Sadece bununla dertler bitmez
Çıkacaksın kabuğundan, bunalımdan kurtaracaksın kendini
Ona göre yaşamayı bırakıp döneceksin gerçeklere
Ama önce
Bir kadın çizeceksin
Onun gibi bırakıp gitmeyecek
Saklayıp gömeceksin
Kimseler sevemeyecek
Şimdi bunlar yetmez gibi bir de, kendini aşka mı bıraktın, hadi be
Bırak adam gibi şeylerle uğraşmayı
Herkes gibi takıl, yaşa hayatını
Takılamıyorsan bile rol yap, ne yap et ama yarat kendi yalan dünyanı
Çünkü bunlar para ediyor, baksana sevgi bile yalan olmuş
Piyasada kavrulmuş, herkes kudurmuş
Canım dediğin bile arkandan vurmuş
Tüm bunları bilerek yaşa ve sakın
Ama sakın içindekileri tüketeyim deme
Bir gün gelecek göstereceksin kendini, sevgini, neler istediğini
Şimdilik alacaksın eline kalemi, kusacak dökeceksin nefretini
Bir kadın çizeceksin
Onun gibi bırakıp gitmeyecek
Saklayıp gömeceksin
Kimseler sevemeyecek
Birden duracaksın soracaksın kendine
Neden bu düzen böyle? neden herkes sahte?
Sonra bakacaksın, göreceksin çaren yok
Devam edeceksin? yalandan yaşamaya
Bir kadın çizeceksin
Onun gibi bırakıp gitmeyecek
Saklayıp gömeceksin
Kimseler sevemeyecek
Bir gün gelecek göstereceksin kendini, sevgini, neler istediğini
Şimdilik alacaksın eline kalemi, kusacak dökeceksin nefretini
Çıkacaksın kabuğundan, bunalımdan kurtaracaksın kendini
Ona göre yaşamayı bırakıp döneceksin (gerçeklere)
Bırakıp döneceksin gerçeklere
Bir gün gelecek göstereceksin kendini, sevgini, neler istediğini
Şimdilik alacaksın eline kalemi, kusacak dökeceksin nefretini
Çıkacaksın kabuğundan, bunalımdan kurtaracaksın kendini
Ona göre yaşamayı bırakıp döneceksin gerçeklere";;Manga - Bir Kadın Çizeceksin
"Yüksek Sadakat - Belki Üstümüzden Bir Kuş Geçer

Gül renginde gün doğarken
Boğazdan gemiler usulca geçerken
Gel çıkalım bu şehirden
Ağaçlar gökyüzü ve toprak uyurken
Dolaşalım kumsallarda
Çılgın kalabalık artık uzaklarda
Yorulursan yaslan bana
Sarılıp uyuyalım gün batımında
Belki üstümüzden bir kuş geçer
Kanadından bir tüy düşer
İner döne döne gökyüzünden
Hiç bir yüz güzel değil senin yüzünden
Haydi kalk gidelim bu şehirden
Gün doğarken ya da güneş batarken
Belki kuşlar geçer üstümüzden
Kanatlanır senin ellerinden
Ellerinden
Gül renginde gün doğarken
Boğazdan gemiler usulca geçerken
Gel çıkalım bu şehirden
Ağaçlar gökyüzü ve toprak uyurken
Dolaşalım kumsallarda
Çılgın kalabalık artık uzaklarda
Yorulursan yaslan bana
Sarılıp uyuyalım gün batımında
Belki üstümüzden bir kuş geçer
Kanadından bir tüy düşer
İner döne döne gökyüzünden
Hiç bir yüz güzel değil senin yüzünden
Haydi kalk gidelim bu şehirden
Gün doğarken ya da güneş batarken
Belki kuşlar geçer üstümüzden
Kanatlanır senin ellerinden
Haydi kalk gidelim bu şehirden
Gün doğarken ya da güneş batarken
Belki kuşlar geçer üstümüzden
Kanatlanır senin ellerinden
Ellerinden";;Yüksek Sadakat - Belki Üstümüzden Bir Kuş Geçer
"Pinhani - Dön Bak Dünyaya

Yalnız kaldıysan
Kalkıp pencerenden bir bak
Güneş açmış mı?
Yağmur düşmüş mü?
Dön bak dünyaya
Herkes gitmişse
Sakince arkana dön bir bak
Dostun kalmış mı?
Aşkın solmuş mu?
Dön bak dünyaya
Dön bak dünyaya
Yalnız kaldıysan
Kalkıp pencerenden bir bak
Güneş açmış mı?
Yağmur düşmüş mü?
Dön bak dünyaya
Bir sonbahar kadar yalnız
Bir kış kadar savunmasız
Ya da ilkbaharsan
Yolun başındaysan
Bir sonbahar kadar yalnız
Bir kış kadar savunmasız
Ya da ilkbaharsan
Yolun başındaysan
Asla vazgeçme
Kalkıp da pencerenden bir bak
Güneş açmış mı?
Yağmur düşmüş mü?
Dön bak dünyaya";;Pinhani - Dön Bak Dünyaya
"berat Kul - Benimle oynama

Yalnızlıklardan yoruldum usandım 
Sensiz gecelerden sıkıldım bunaldım 
Sımsıkı saran ateşi gözledim 
O sımsıcak bakan gözleri özledim 
Tutuşur anılar uykusuzluğumda 
Yetişir sevdalar umutsuzluğumda 
Bin korku sarar senin yokluğunda 
Yangınlar çıkar susuzluğumda 
Aşkına yürüyen sesimi duyuyorsun 
Gittikçe büyüyen dert oluyorsun 
Sana söylüyorum farkında mısın ama 
Seni seviyorum ah biliyorsun 
Benimle oynama söyledim sana 
Şansını zorlama uğurlar olsun";;berat Kul - Benimle oynama
"Şebnem Feral - Mayın tarlası

Mayın tarlasında dolaşıp durmuşum aşk sanıp da
Herkes arkamdan bağırmış kimseyi duymamışım
Savaş filmlerinde olur ya yaralı yaralı devam etmişim
Sonuna kadar aşk ya yanımdasın sanmışım
Mayın tarlasında yürüyüp durmuşum aşk sanıp da
Tel örgülerde durmamış bir delikten geçmişim
Her şey bana dur demiş kulağım darbe almış duymamışım
Sonuna kadar aşk ya sadece inanmışım
Koşmuşum düşmüşüm kalkmışım
Sevişmek sevmekten gelir inanmışım
Elimden tuttuğunda öyle bir güvenmişim ki
Bize bir şey olmaz sanmışım
Mayın tarlasında bir adam sevmişim aşk sanıp da (aşk sanıp da)
Soyunup korkusuzca çırılçıplak kalmışım
Aşk filmlerinde olur ya işte öyle sevmişim
Sonunda, bedenim sağlam bulunmuş, yüreğim paramparça
Mayın tarlasında dolaşıp durmuşum aşk sanıp da
Herkes arkamdan bağırmış kimseyi duymamışım
Savaş filmlerinde olur ya yaralı yaralı devam etmişim
Sonuna kadar aşk ya yanımdasın sanmışım
Koşmuşum düşmüşüm kalkmışım
Sevişmek sevmekten gelir inanmışım
Elimden tuttuğunda öyle bir güvenmişim ki
Bize bir şey olmaz sanmışım
Mayın tarlasında bir adam sevmişim aşk sanıp da
Soyunup korkusuzca çırılçıplak kalmışım
Aşk filmlerinde olur ya işte öyle sevmişim
Sonunda, bedenim sağlam bulunmuş, yüreğim paramparça
Mayın tarlasında bir adam sevmişim aşk sanıp da (aşk sanıp da)
Soyunup korkusuzca çırılçıplak kalmışım
Aşk filmlerinde olur ya işte öyle sevmişim
Sonunda, bedenim sağlam bulunmuş, yüreğim paramparça";;Şebnem Feral - Mayın tarlası
"Mor ve Ötesi -Cambaz

Ne habersin ne Türk'sün
Seni gören yollara dökülsün
Kul oldun, köle oldun
Kurşun geçirmez cam oldun
Bütün dünya izler durur
Afetiazam bekler durur
Hedefini al, piyasanı al, her şeyi al
Yandı dertler, bitti tasa
Ben kurbanım bu cambaza
İki gözüm kadar eminim, sen yoksun
Kul oldun, köle oldun
Kurşun geçirmez cam oldun
Cin oldun, adam çarptın
Cellat oldun, kelle uçurdun
Bütün dünya izler durur
Afetiazam bekler durur
Hedefini al, piyasanı al, her şeyi al
Yandı dertler, bitti tasa
Ben kurbanım bu cambaza
İki gözüm kadar eminim, sen yoksun
Var mısın? Yoksun
Var mısın? Yoksun
İki gözüm, eminim, sen yoksun
Var mısın? Yoksun
Var mısın? Yoksun
Bütün dünya izler durur
Afetiazam bekler durur
Hedefini al, piyasanı al, her şeyi al
Yandı dertler, bitti tasa
Ben kurbanım bu cambaza
İki gözüm kadar eminim, sen yoksun
Sen yoksun
Sen yoksun";;Mor ve Ötesi -Cambaz
"Teoman - renkli rüyalar oteli

Arabayı sen kullan demiştim içkiliyim
Boşver yutalım şeritleri bas gaza dedin
Bu otel güzel, adını sevdim
Orda öyle yerlerime dokun
Dokunmadığı kimsenin
Sarhoş olsak ya
Kimiz unutsak ya
Bulut olup iç içe
Bardaktan boşalsak ya
Sarhoş olsak ya
Tek vücut olsak ya
Yüksek doz aşk alıp
Burda mutlu ölsek ya
Yıllar önceydi
Çok da güzeldi şimdi, düşününce
Benimsin demiştim, ben de senin
Renkli rüyalar otelinde
Yıllar önceydi
Çok da güzeldi şimdi, düşününce
Benimsin demiştim, ben de senin
Renkli rüyalar otelinde
Kapıları çalmıştım
Cevapsız savrulmaya
Hiç atmayan kalpleriyle insanlara
Ama sen farklısın dedim
Dedim ki sense
Dikkat et sadığımdır sadece kendime
Sarhoş olsak ya
Kimiz unutsak ya
Bulut olup iç içe
Bardaktan boşalsak ya
Sarhoş olsak ya
Tek vücut olsak ya
Yüksek doz aşk alıp
Burda mutlu ölsek ya
Yıllar önceydi
Çok da güzeldi şimdi, düşününce
Benimsin demiştim, ben de senin
Renkli rüyalar otelinde
Yıllar önceydi
Çok da güzeldi şimdi, düşününce
Benimsin demiştim, ben de senin
Renkli rüyalar otelinde
Sarhoş olsak ya
Kimiz unutsak ya
Bulut olup iç içe
Bardaktan boşalsak ya
Sarhoş olsak ya
Tek vücut olsak ya
Yüksek doz aşk alıp
Burda mutlu ölsek ya
Yıllar önceydi
Çok da güzeldi şimdi, düşününce
Benimsin demiştim, ben de senin
Renkli rüyalar otelinde
Yıllar önceydi
Çok da güzeldi şimdi, düşününce
Benimsin demiştim, ben de senin
Renkli rüyalar otelinde";;Teoman - renkli rüyalar oteli
"Athena - Beyoğlu

Beyoğlu'nda gezersin gözlerini süzersin
Beyoğlu'nda gezersin gözlerini süzersin
Sevdiceğim yavrucağım niçin niçin beni üzersin
Sevdiceğim yavrucağım niçin niçin beni üzersin
Mavi gözlük takarsın çok canları yakarsın
Mavi gözlük takarsın çok canları yakarsın
Sevdiceğim yavrucağım niçin niçin beni üzersin
Sevdiceğim yavrucağım niçin niçin beni üzersin
Ah ah gel gel gel bana gel bana gel
Ah ah gel gel yanıma yanıma gel
Beyoğlu'nda gezersin gözlerini süzersin
Beyoğlu'nda gezersin gözlerini süzersin
Sevdiceğim yavrucağım niçin niçin beni üzersin
Sevdiceğim yavrucağım niçin niçin beni üzersin
Ah ah gel gel gel bana gel bana gel
Ah ah gel gel yanıma yanıma gel
Gel gel gel gel, gel gel gel gel
Gel gel yanıma yanıma gel
Gel gel gel gel, gel gel gel gel
Gel gel yanıma yanıma gel, yanıma gel";;Athena - Beyoğlu
"Manga - Cevapsız Sorular

Birden ay ışığını kesti
Birde sen çok değiştin
Yaşananlar hiç yaşanmamış gibi
Söylenenler hiç söylenmemiş gibi
Birde sen karşıma geçtin
Başka biri var biri var dedin
İnanamadım gittiğine
İnanamadım bittiğine
Ne sen baktın ardına ne ben
Hep ayrı yollarda yürüdük
Sustu bu gece karardı yine ay
Kaldı geriye cevapsız sorular
Uyandığımda onu ilk kim görecek
Bıraktığım düşü kim büyütecek
Her sabah kaybolup giden
Bir rüya gibi oldun artık
Geceleri beni bekleyen
Gündüzlerimi zehir eden
Ne sen baktın ardına ne ben
Hep ayrı yollarda yürüdük
Sustu bu gece karardı yine ay
Kaldı geriye cevapsız sorular
Uyandığımda onu ilk kim görecek
Bıraktığım düşü kim büyütecek
Ne sen baktın ardına ne ben
Hep ayrı yollarda yürüdük
Sustu bu gece karardı yine ay
Kaldı geriye cevapsız sorular
Uyandığımda onu ilk kim görecek
Bıraktığım düşü kim büyütecek";;Manga - Cevapsız Sorular
"Yüksek Sadakat - Katil & Maktül

Tek bir oyun, sonra kalkıp gidersin
Sen her zaman risk almayı seversin
Ben inerken en dibe ağır ağır
Sen ilk gördüğüm günden bile güzelsin
Oyunun adı aşk, kan ve gül
Sen katilsin bense maktül
Çek hançerini
Son kez öp ve beni öldür
Tek bir oyun, sonra kalkıp gidersin
Sen her zaman risk almayı seversin
Ben inerken en dibe ağır ağır
Sen ilk gördüğüm günden bile güzelsin
Oyunun adı aşk, kan ve gül
Sen katilsin bense maktül
Çek hançerini
Son kez öp ve beni öldür
Çek hançerini
Son kez öp ve beni öldür
Oyunun adı aşk, kan ve gül
Sen katilsin bense maktül
Çek hançerini
Son kez öp ve beni öldür
Çek hançerini
Son kez öp ve beni öldür
Oyunun adı aşk, kan ve gül
Sen katilsin bense maktül
Çek hançerini
Son kez öp ve beni öldür
Çek hançerini
Çek hançerini
Çek hançerini beni öldür
Çek hançerini
Çek hançerini
Çek hançerini
Son kez öp ve beni öldür";;Yüksek Sadakat - Katil & Maktül
"Pinhani - Hele bi Gel

İçinden geleni söyle
Kalırsa yazık olur
Hayata küsüverirsin
Hüzünler seni bulur
Bi şeyler yapabilirsem
Güzel gözlerin için
Başından geçeni anlat
Masaldır benim için
Hele bi gel
Uzaklar sana gelir
Sen hele bi gel
Bütün dertler bitiverir
Hep seni bulur
Uzun zor sıkıcı günler
Yazık olur
Hadi gel kurtar bizi
İçinden geleni söyle
Kalırsa yazık olur
Hayata küsüverirsin
Hüzünler seni bulur
Bi şeyler yapabilirsem
Güzel gözlerin için
Başından geçeni anlat
Masaldır benim için
Hele bi gel
Uzaklar sana gelir
Sen hele bi gel
Bütün dertler bitiverir
Hep seni bulur
Uzun zor sıkıcı günler
Yazık olur
Hadi gel kurtar bizi
Hele bi gel
Uzaklar sana gelir
Sen hele bi gel
Bütün dertler bitiverir
Hep seni bulur
Uzun zor sıkıcı günler
Yazık olur
Hadi gel kurtar bizi
Hele bi gel
Uzaklar sana gelir
Sen hele bi gel
Bütün dertler bitiverir
Hep seni bulur
Uzun zor sıkıcı günler
Yazık olur
Hadi gel kurtar bizi";;Pinhani - Hele bi Gel
"Şebnem Ferah - Ya hep ya hiç

Ya hep ya hiç, ya gel ya git
Ya az ya çok, ya var ya yok
Bugün beni ya sev ya terk et
Yakın uzak, iyi kötü
Yaşa ya da unut dünü
Bugün beni ya sev ya terk et
Ya içindesin ya dışında
Nasıl olurdu diye meraktansa
Kazansak da kaybetsek de
Denemeye değmez mi?
İkimiz de yorgunsak da
Denemeye değmez mi?
Ya hep ya hiç, ya gel ya git
Ya az ya çok, ya var ya yok
Bugün beni ya sev ya terk et
Yakın uzak, iyi kötü
Yaşa ya da unut dünü
Bugün beni ya sev ya terk et
Ya içindesin ya dışında
Nasıl olurdu diye meraktansa
Kazansak da kaybetsek de
Denemeye değmez mi?
İkimiz de yorgunsak da
Denemeye değmez mi?
Kazansak da kaybetsek de
Denemeye değmez mi?
İkimiz de yorgunsak da
Denemeye değmez mi?
Kazansak da kaybetsek de
Denemeye değmez mi?
İkimiz de yorgunsak da
Denemeye değmez mi?";;Şebnem Ferah - Ya hep ya hiç
"Duman - bu akşam

Kendime geldim geleli, dostlar
Olamam kimseye düşman
Bi' şüphem yok, kefenim sağlam
İçerim ben bu akşam
Sesleri duydum duyalı, dostlar
Yola çıktım yeni baştan
Acelem yok, hedefim sağlam
İçerim ben bu akşam
İçerim ben bu akşam
İçerim ben
Ben bur'da bu akşam
Ben bur'da bu akşam
Ben bur'da bu akşam
Ben bur'da bu akşam
İçerim ben
Sizleri gördüm göreli, dostlar
Hemen her gün bana bayram
Yarınım yok, sevenim sağlam
İçerim ben bu akşam
İçerim ben bu akşam
İçerim ben
Ben bur'da bu akşam
Ben bur'da bu akşam
Ben bur'da bu akşam
Ben bur'da bu akşam
İçerim ben bu akşam
Ben bur'da bu akşam
Ben bur'da bu akşam
Ben bur'da bu akşam
İçerim ben";;Duman - bu akşam
"Mor ve ötesi - deli

Aranıyor sahibi ruhumun, tam yerine mi düştüm?
Direniyor faili tutkunun, kızmış ve küçülmüş
Aranıyor sahibi ruhumun, tam yerine mi düştüm?
Direniyor, direniyor, direniyor
Beni (büyütün, ağlatmayın)
(Sevginiz ner'de övündüğünüz?)
Beni büyütün, ağlatmayın
Sahte düşlerle oyalamayın
Aranıyor sahibi ruhumun, tam yerine mi düştüm?
Direniyor faili tutkunun, kızmış ve küçülmüş
Aranıyor sahibi ruhumun, tam yerine mi düştüm?
Direniyor, direniyor, direniyor
Beni büyütün, ağlatmayın
Sevginiz ner'de övündüğünüz?
Beni büyütün, ağlatmayın
Sahte düşlerle...
Bir yarım akıllı, bir yarım deli
Dört yanım akıllı, bir yanım deli
Herkes akıllı, bir ben deli
Bir ben deli (bir ben deli)
Beni büyütün, ağlatmayın
Sevginiz ner'de övündüğünüz?
Beni büyütün, ağlatmayın
Sahte düşlerle oyalamayın
Çok teşekkür ederiz, çok şanslıyız, çok şanslıyız";;Mor ve ötesi - deli
