şarkı sözleri;;"﻿şarkı sözleri;;şarkı ad"
"Cem Belevi – Yağmur Şarkı Sözü





Ver elini yine ellerime
Bakmadan yapamam gözlerine
Başka birini bekleme benden
Kimseyi koyamam sen yerine
Aldım o resmini ay işığım yalnız gecede
Yazdım hep i̇smini her söz her hecede
Ektim o gülleri kırmızı renkleri bile yok
Gittiğinden beri günlerin anlamı yok
Sensiz hayat hiç çekilmiyor ne olur gel
Gecelerime gün doğmuyor ve bunca keder
Gün be gün beni benden harap eder
Beni bırakan yağmurum ol yine geri gel
Koy yüreğini hayallerime
Gerçeğim ol dokun tenime
Daha yazacak hikayemiz varken
Ayrılık olmaz son kelime
Aldım o resmini ay işığım yalnız gecede
Yazdım hep i̇smini her söz her hecede
Ektim o gülleri kırmızı renkleri bile yok
Gittiğinden beri günlerin anlamı yok
Sensiz hayat hiç çekilmiyor ne olur gel
Gecelerime gün doğmuyor ve bunca keder
Gün be gün beni benden harap eder
Beni bırakan yağmurum ol yine geri gel
Yok yapamadım nefes alamadım
Kalbimi sensiz bırakamadım
Gel yan yana dursun aşk yerini bulsun
Dön günlerimin anlamı olsun
Sensiz hayat hiç çekilmiyor ne olur gel
Gecelerime gün doğmuyor ve bunca keder
Gün be gün beni benden harap eder
Beni bırakan yağmurum ol yine geri gel";;Cem Belevi – Yağmur 
"

Melike Şahin – Ne Ettim Sana? Şarkı Sözü





Ne ettim sаnа
Yüzün uzаğа gitmiş görmeden
Düşmüş tez elden
Cennetim аh, en büyük çilemdir
Ellerinin her bir çizgisi
Ne ettim sаnа
Geçtin cаnımdаn
Zаlim okunlа vurdun gönülden
Dertlerini dökül bаnа
Ne ettim sаnа, hаk ettim mi?
Bırаktığın mis koku duruyor bаk yаstıktа
Ellere аçtığın koynun benimdi
Ne ettim de çekildin
Dudаğın kenаrındаn
Gözlerimin ucundаn uzаğа";;Melike Şahin – Ne Ettim Sana? 
"Mine Çağlıyan – Sabah Olmuyor Şarkı Sözü





Gece vakti,çırılçıplak
Geçmiş yok,yarın uzak
Tek bir söz,bir nefes yok
Siyah,beyaz,hiç renk yok
Çok sessiz,sesim yok
Bir aşk yok,ruhum yok
Çok zamandır hiç anım yok
Yaşıyorum bilmeden ,yaşıyorum ben
Çıkıyorum durmadan yokuşlardan
Büyüyorum kalbimden büyüyorum ben
Yaşamak nasıl ağır geliyor bana
Sabah olmuyor
Sabah olmuyor…
Gece vakti,çırılçıplak
Zaman durmuş ,yarın uzak
Tek bir ses,bir ışık yok
Bugünden umudum yok
Yaşıyorum bilmeden,yaşıyorum ben
Çıkıyorum durmadan yokuşlardan
Büyüyorum kalbimden büyüyorum ben
Yaşamak nasıl ağır geliyor bana
Sabah olmuyor
Sabah olmuyor…";;Mine Çağlıyan – Sabah Olmuyor 
"Haydar Yılmaz & İrem Öztürk – Yanarım Şarkı Sözü





Göğsümde uyumadın hiç
Çok istedim ama çok gördün
Kalbimde durmadın hiç
Hep istedim ama çok gördün
Nankördün aldın vebalimi
Yaşattın acının her halini
Çok gördün seni seven şu kalbimi
Artık görmüyorum hayalini
Yanarım kor ateşler üstüme gelir ama
Kanarım sen söyle bir yalan daha bana
Anarım adını her özlediğimde ama
Bittiyse zorlamam";;Haydar Yılmaz & İrem Öztürk – Yanarım 
"Melis Kar – Kadın Şarkı Sözü





Biz belasız, zararsız, olaysız
Olamayız
Biz zamansız mekansız
Bir arada duramayız senle
Korktuğunda kaçabilirsin
Ben hep aynı yerde duracağım
Cehennemde bile dans ettim ey!
Ateş benim oyuncağım
Ben beni düşüreni bile kaldırdım
Sence seni yakabilir mi ki yangınım
Sen kırların çiçeğisin be kadın
Bense bataklıkta çukurdayım";;Melis Kar – Kadın 
"Oğuzhan Koç – Hesabıma Yazıyor Şarkı Sözü





Gün batınca zor gelir
Karanlık daha beter
Yoluma bir ışık yaksan
Ya da gelsen o bana yeter
Soru sorsam kim bilir?
Bu günler nasıl geçer?
Sonuma yakınım artık
Belki derdim böyle biter
Yanıyorum yine aşkla
Beni iyiyim sanma
Aldığım her nefes bıçak gibi batıyor
Kaldığım her gün bu hayatta,
Hesabıma yazıyor";;Oğuzhan Koç – Hesabıma Yazıyor 
"Ezgi Kosa & Murat Güneş – Hayat Kavgası Şarkı Sözü





Aynı semtte farklı dertle büyümüşüz biz
Sen sokakta ben evimde üşümüşüz biz
Ömür boyu birbirimize gelmişiz de
Başka başka yollarda yürümüşüz biz
Hayatta kaybetmişiz ama belki aşkta kazanırız
Şu talih dönerse bizimde yüzümüze gülerse
Sen benim ben senin göğsüne uzanırız
Yaralarımı sar diye geldim sana
Bir de baktım senin yaran benden de çok
Kabahatim büyük gibi bakma bana
Söylesene şu kaderin hiç mi suçu yok";;Ezgi Kosa & Murat Güneş – Hayat Kavgası 
"Sezen Aksu – Yetinmeyi Bilir Misin? Şarkı Sözü





Yetinmeyi bilir misin?
Sana verdiği kadarıyla hayatın
Hoş bilsen de bilmesen de
Yara bere içinde bu yollardan geçeceksin
Kazanmayı isterdim, kaybetmeyi değil
Ama olmadı yar
Kendini kayırıyor her insan önce
Bu yüzden aşka kıyar
Giderim, alışığım gitmelere
Direndi bu can ne bitmelere
Giderim, alışığım gitmelere
Gerek yok isyan etmelere";;Sezen Aksu – Yetinmeyi Bilir Misin? 
"Sancak – Veda Şarkı Sözü





Nereden bilirdim dokununca yalnız hissettiğini?
Farketmedim, benim olmasan da sen tektin.
Bunlar bir yana, büyüyor gözümde yaptıkların,
Ama bu defa seni verdim kendi ellerimle.
Gelmediğin ne kadar gün varsa anladım.
Şimdi, istediğin her gün aynı yere git.
Yalnız; kim bakıyor sana bilmek isterim.
Ki gözlerin boş yere incitilmesin.
Yar, kim sevdi seni benim kadar?
Bakar bakar gülümsetir vedan.
İçim yanar da söylemem sana.
Gömünce seni ben ellerimle..
Yar, kim sevdi seni benim kadar?
Bakar bakar gülümsetir vedan.
İçim yanar da söylemem sana.
Yağmurlar yağar ya gözlerimde.";;Sancak – Veda 
"Alaz Pesen – Vampirella Şarkı Sözü





Alaz Pesen – Vampirella Şarkı Sözleri:
Yollar geçiyor hiç durmadan
Sular akıyor aldırmadan
Seni en son gördüğüm yeri, ey lanetli peri
Hatırlamıyorum, desem inanma
Bir bir geçiyorlar hatıralar
En son ne zaman hatırlanacaklar
Sesler yüzler sokaklar, mis gibi kokular
Tek tek tek yok olacaklar
Sen benim şarkılarımda yaşayan bir yalansın
Geçmişimden bugünüme uzanan bir yılansın
Duy sesimi ruhunun en derin yerinde
Gör yüzümü denizlerin serinlerinde
Unutma beni nasıl öptüğünü
Vampirella
Sensiz kalkıyor artık tüm uçaklar
Şu cansız kalbimde bilmem kaç bıçak var
Aylar güneşler şehirler
Dipsiz denizler
Sonsuz yıldızlar hep teninden uzaklar
Sen benim şarkılarımda yaşayan bir yalansın
Geçmişimden bugünüme uzanan bir yılansın
Duy sesimi ruhunun en derin yerinde
Gör yüzümü denizlerin serinlerinde
Unutma beni nasıl öptüğünü
Vampirella";;Alaz Pesen – Vampirella 
"Gönül Erturan – Hak Ettiğin Gibi Yaşa Şarkı Sözü





Gönül Erturan – Hak Ettiğin Gibi Yaşa Şarkı Sözleri:
Sıfırı çoktan tükettin,
Yoktan sebepler türettin,
Başıma ne geldiyse senden,
Geriye ne kaldıysa senden,
Hak ettiğin gibi yaşa şimdi sen,
Benim yolum hep aynı senin değil,
Gözyaşlarım akarken uğrunda,
Al seni götür benim içimden,
Başıma ne geldiyse senden,
Geriye ne kaldıysa senden,
Hak ettiğin gibi yaşa şimdi sen,
Benim yolum hep aynı senin değil,
Gözyaşlarım akarken uğrunda,
Al seni götür benim içimden";;Gönül Erturan – Hak Ettiğin Gibi Yaşa 
"Dilan Demirel – Arabesk Şarkı Sözü





Dilan Demirel – Arabesk Şarkı Sözleri:
Hiçbir ruh hali değiştiremedi
Bendeki baba yalnızlığı
Gitmeler eksiltir mi kalanları?
Hangi ölüm almış ki, ardında süren hayatı.
Nefes alıyoruz, bak İstanbul yine içiyoruz.
Kucak kucak sepette çiçekler taşıyan,
gemiler kalkmıyor artık limanlarımdan.
Hoşçakal, narçiçeğim
Belki bir gün, yine döneceğim.
Gece har, ay doğar karanlığa.
İçimde efkar dolanıyor, damarlarımda.
Hasreti gecenin, sarılıp uyumaya.
Dönük hayallerim, arabesk olmaya.
Arabesk arabesk oluyorum.
Arabesk arabesk.
Benim de saçlarım rakı beyazı olur mu, bilmiyorum.
Arabesk.";;Dilan Demirel – Arabesk 
"Bilal SONSES – Helal Etmiyorum Şarkı Sözü





Yeniden başlasam unutsam her şeyi
Hatıraları yaksam
Birer birer ateşlere atsam
Kendimi kurtara bilir miyim?
Sessizce yokluğuyla
Dağıtsam gitsem ne farkeder ki
Gönlüm senden bir adım gitmiyor
Kalksam yerden her düştüğümde
Bir yanım sana kal bir yanım git diyor
Benim gibi sen de yanarsın
O zaman anlarsın sevmeyi
Bi bakmışsın tüm umutlar
Yıkılmış seninde üzerine
Söndürmüyorsun giderken yaktığın ateşleri
Öldür diyorsun içinde ne varsa
Hayat öğretmiyor mu kim haklı kim haksız
Helal etmiyorum hakkımı sana
Söndürmüyorsun giderken yaktığın ateşleri
Öldür diyorsun içinde ne varsa
Hayat öğretmiyor mu kim haklı kim haksız
Helal etmiyorum hakkımı sana
Benim gibi sen de yanarsın
O zaman anlarsın sevmeyi
Bi bakmışsın tüm umutlar
Yıkılmış seninde üzerine
Söndürmüyorsun giderken yaktığın ateşleri
Öldür diyorsun içinde ne varsa
Hayat öğretmiyor mu kim haklı kim haksız
Helal etmiyorum hakkımı sana
Söndürmüyorsun giderken yaktığın ateşleri
Öldür diyorsun içinde ne varsa
Hayat öğretmiyor mu kim haklı kim haksız
Helal etmiyorum hakkımı sana";;Bilal SONSES – Helal Etmiyorum 
"Veysel Mutlu – Kaldı Yarına Şarkı Sözü





Kaldı yanıma, hep güldüm acıma
Ah ile geçti anılar, gece şarkılarıma
Yar diye düştüm ağına.
İçtim acıma
Ne kaldı yarına yarına
Umut olsanda olur duysanda olur beni vursanda olur.
Sussanda olur ah böyle gülsen ne olur
Çokta içmem sel olur.
Deşer bedeni hatıralar ah
Eder bir ömrü cananım harab
Uzak durma yanımda kal
Bu kalbe deymez başka can
Ne yana kaçtıysan
Yeminim var zamanım dar
Bi canım var ve yarınlar
Kaldı yanıma, hep güldüm acıma
Ah ile geçti anılar, gece şarkılarıma
Yar diye düştüm ağına.
İçtim acıma
Ne kaldı yarına yarına";;Veysel Mutlu – Kaldı Yarına 
"Gökhan Türkmen & Birkan Nasuhoğlu – Gülmedi Kader Şarkı Sözü





Bitti sandım oysa
Geçmedi gitti ne var ne yoksa
Gördüm ama inanmadım asla
Şimdi derinlerdeyim ve yasta
Yolun başındayım daha dur
Yürek yanarsa sen kalbe vur
Bir mesel çıkar da savrulur
Gün gelir zaman isterse ilaç olur
Aylar geçti yıllar seçti
Bize… Gülmedi kader….";;Gökhan Türkmen & Birkan Nasuhoğlu – Gülmedi Kader 
"Tuğçe Haşimoğlu & Mehmet Savcı – Ben Artık Yokum Şarkı Sözü





Olmadı bunları yaz bir kenara
Sesimi de unutmuşsun ne ara
Yoksa çevirecek başka numaran
Ne adımı an,ne sor,ne ara…
Ben iyiyim hiç sorma beni
Sen git kalbim sonra gelir
Sevmiyorsan yorma beni
Hiç olma derim 
Ben iyiyim hiç sorma beni
Sen git kalbim sonra gelir
Sevmiyorsan yorma beni
Hiç olma derim 
Aşka açım,yalanlarına tokum
Bir kere olsun yaralarıma dokun
Döküldü yapraklarımın çoğu
Kurtuldun BEN ARTIK YOKUM!
Aşka açım,yalanlarına tokum
Bir kere olsun yaralarıma dokun
Döküldü yapraklarımın çoğu
Kurtuldun BEN ARTIK YOKUM!
Olmadı bunları yaz bir kenara
Sesimi de unutmuşsun ne ara
Yoksa çevirecek başka numaran
Ne adımı an,ne sor,ne ara…
Olmadı bunları yaz bir kenara
Sesimi de unutmuşsun ne ara
Yoksa çevirecek başka numaran
Ne adımı an,ne sor,ne ara…";;Tuğçe Haşimoğlu & Mehmet Savcı – Ben Artık Yokum 
"Başak Çalık – No No No Şarkı Sözü





Biraz kırıldım ama aa, aa
Sorun değil bana
İnsanlar demişti yapma ma, ma
Ama kandım sana
Işık yükseldi, parti bitti
Davetliler gitti, yüzleşme vakti
Oo ve de
Sana daha ne desem bile az
Şaşkınlığım çabuk geçti
No No No No
Sen gibilere geçit yok
No No No No
No No No No
Sen gibilere gerek yok
No No No No  
Asla sapmadım kendi yolumdayım
Kendi tarzımı ortaya koymaktayım
Aklın kalmasın ben sapasağlamım
Kendi farkımı ortaya koymaktayım";;Başak Çalık – No No No 
"Ufuk Yıldırım – Beni Sana Hapsettin Şarkı Sözü





Böyle yazılmış bilirim alnıma
Hasret acısı göğsümde bela
Böyle yazılmış bilirim alnıma
Hasret acısı göğsümde bela
Beni sana hapsettin
Dönülmez uzaklarda
Kaderime terk ettin
Dayanamam yokluğuna
Beni sana hapsettin
Dönülmez uzaklarda
Alışamadım inan inan yokluğuna
Bir sen vardın yüreğime sardığım
Canımı paylaştığım
Düşlerime hasret yağdı
Bir sen vardın yüreğime sardığım
Canımı paylaştığım, neredesin?
Beni sana hapsettin
Dönülmez uzaklarda
Kaderime terk ettin
Dayanamam yokluğuna
Beni sana hapsettin
Dönülmez uzaklarda
Kaderime terk ettin, neredesin?
Aldın aklımı savurdun yel gibi
Sevdan bu mu yar, tut ellerimi
Aldın aklımı savurdun yel gibi
Sevdan bu mu yar, tut ellerimi
Beni sana hapsettin
Dönülmez uzaklarda
Kaderime terk ettin
Dayanamam yokluğuna
Beni sana hapsettin
Dönülmez uzaklarda
Alışamadım inan inan yokluğuna
Bir sen vardın yüreğime sardığım
Canımı paylaştığım
Düşlerime hasret yağdı
Bir sen vardın yüreğime sardığım
Canımı paylaştığım neredesin?
Beni sana hapsettin
Dönülmez uzaklarda
Kaderime terk ettin
Dayanamam yokluğuna
Beni sana hapsettin
Dönülmez uzaklarda
Kaderime terk ettin, neredesin?";;Ufuk Yıldırım – Beni Sana Hapsettin 
"Burak Girginer – Kördüğüm Şarkı Sözü





Gitti
Kalbimi yerinden söküp gitti
Bu sefer bitti beni benden etti
Hala aşktan
Söz etme ne olur bırak ne olur
Söz etme ne olur bırak ne olur
İçimdeki yangın diner mi sandın
Gözlerine baka baka sana kandım
Kendimi vura vura savura yollarında buldum ya
Kördüm gördüm şimdi tam kördüğüm
Kalbim ata ata yana yana söndüm
Her defasında sana yandım ben 
Yandım yandım
Kandım kandım";;Burak Girginer – Kördüğüm 
"Oğuzhan Koç – Bitmedi Elem Şarkı Sözü





Bitmedi elem, hep aklımda sabah akşam
Yakındayken hep uzaklaşan
Bu mu hikayem, sen yanımda olmayınca
Tadım mıydı sadece kaçan
İnanmam, bir sağa döndüm, solu unuttum
Görmeyince gül yüzünü o yanda
Sorarsan bi’ tek ben söndüm, tüm ışıklar altında
Bükemediğim tek bileği öptüm
Yaşanmayınca bilmiyormuş insan aşk böyle demek
Uzaklaşınca ağlanıyormuş bu mu sevmek
Kaç gün oldu bekliyorum elimde çiçek?
Soldu gitti bu deste de yok ki bir yedek";;Oğuzhan Koç – Bitmedi Elem 
"Fikret Dedeoğlu – Keşke Şarkı Sözü





Bi dur de bana
Gitme de ne olur
Gidersem bu sefer
Sonumuz olur
Git bi gör bi bak
Nasıl aşk dışarlarda
Anlatılanlar inan hep masallarda
Kalırsın İnşallah sen de yalanlarla
Kimse sevmesin seni
Bensizlik sonun olsun
Arada gel bi gör beni
Pişmanlık kulağa küpe
Aşk artık diline hece
Yalnızlık dostun her gece
Ölsem de kurtulsam keşke diyeceksin";;Fikret Dedeoğlu – Keşke 
"Hakan Peker – Beklerim Ölümüne Şarkı Sözü





Sorgusuzca geçen yıllar
Bi’ hayli yordu beni
İstediğim sadece yanımda olman değil miydi
Kalbimi acıtan sen değil sensizlikti
Geçmişe baktığımda bir şey acıtıyor içimi
Gerçek sandığım aşk koca bi’ yalanmış oysa
Benim için sadece sendin varsa yoksa
Yanımda olmasan bile yaşarım seni rüyalarımda
İkimiz için hayal kurarken
Sen başka kollarda
Gülmeyi de ağlamayı da senden öğrendi gözlerim
Ve sözlerimden anla nefret değil sitemliyim
Bir hüzündü gözlerimde son umuttu sözlerimde
Döneceksen eğer bir gün beklerim ölümüne";;Hakan Peker – Beklerim Ölümüne 
"Jeyla – Arafta Şarkı Sözü





Jeyla – Arafta Şarkı Sözleri:
Olan olmuş artık
Daha neler olsun..
Gemileri yaktık
Liman alev alsın.
Dolu kadehleri
En baştan ters tuttuk
Aşkı kırıp dökttük
Ucuz bir cam sandık
Amma ne sözler verdik
Kendimizi kandırdık
Oysa durum belliydi
Uğrunda tüm dertlere
Düştüm de çıkamadım
Bana hiç iyi gelmedin
Araftayım arafta
Şimdi senden uzakta
Gel de acıya dayan
Yalnızlıkta..
Araftayım arafta
Bir yanım sen tarafta
Bir yanım ateş tutmuş
Yangınlarda..";;Jeyla – Arafta 
"Ayla Çelik & Beyazit Öztürk – Parti Şarkı Sözü





Neyimiz kaldı hayatta
Bir de sen vur
Vur rahatla
Canımız zaten emanet
Alacaksan al be dünya
Şiki şiki baba
Hadi bize oyna
Şiki şiki baba
Hadi yine hoppa
Aaah be dünya
Aaah yalan dünya 
Neyimiz kaldı hayatta
Vuruyon hala inatla
Canımız aşka emanet
Hadi sen sağ ben selamet
Şiki şiki baba
Hadi bize oyna
Şiki şiki baba
Hadi yine hoppa
Aaah be dünya
Aaah yalan dünya";;Ayla Çelik & Beyazit Öztürk – Parti 
"Sezen Aksu – Düş Bahçeleri Şarkı Sözü





Yürüyorum düş bahçelerinde
Gördüm, düşümden büyük bahçe yok
Yüreğimin kuşları konmuş telgrafın tellerine
Neşesi gurbet selamlarından  çok
A benim dilsiz dillerim
A benim sessiz ellerim
Yakala saçından tut hayatı
Çevir yüzüne, öp öp!
Duruyorum vaktin seherinde
Değiştirdim takvimleri, gece yok
Yüreğimin kuşları konmuş telgrafın tellerine
Neşesi, gurbet selamlarından çok";;Sezen Aksu – Düş Bahçeleri 
"Soner Arıca – Bambaşka Şarkı Sözü





Soner Arıca – Bambaşka Sözleri:
Bаşındаyım son аyrımın yine
Bu kez tаmаm, bir dаhа dene deme
Uzаk değil, güneşe yаkın yere
Fаrk etmiyor zаmаn mekаn
Doğru yаnlış her ne vаrsа
Ruhum kаçаr
Bаşkа bаmbаşkа bir аşklа
Yeniden uçаr nаsıl olsа
Geride kаlаnlаrа inаtlа
Yolu vаr dаhа
Bаşkа bаmbаşkа bir аşklа
Yeniden uçаr nаsıl olsа
Geride kаlаnlаrа inаtlа
Yolu vаr dаhа";;Soner Arıca – Bambaşka 
"Oğuzhan Koç – Gitsem Diyorum Şarkı Sözü





Ateş ile oynayınca kalmadı gücüm
Güneşi bir gün bile göremedi gözüm
Kalmadı bir sözüm artık
Gitsem diyorum
Neşesini bol bulunca istedim her an
Hevesini aldı gitti ben yine talan
Bitmez mi bu yalan artık
Bitsen diyorum
Ah aşk olunca meşk olunca
Ben yokum hiçbir tarafında
Dert olunca gün batınca
Ay bile kaçınca gökyüzünden
Aman, aman, aman, aman
Gitsem diyorum
Bir mesele kalmadı içimde şimdi bak
Yine beni döndü buldu ettiğim her ah
Yok mu bir gün ferah artık
Gülsem diyorum
Çile mi değil mi anlamak zor artık çok
Bilene de sorsan aşka başka çare yok
Yolum uzun artık
Gitsem diyorum
Ah aşk olunca meşk olunca
Ben yokum hiçbir tarafında
Dert olunca gün batınca
Ay bile kaçınca gökyüzünden
Aman, aman, aman, aman
Gitsem diyorum
Sen varolunca bir yok olunca
Ben de olmam olmadığın zaman
Gün doğunca bir uyansam
Bir de baksam yanı başımda olsan Aman, aman
Gitsem diyorum";;Oğuzhan Koç – Gitsem Diyorum 
"Soner Arıca – Akşam Olmadan Gel Şarkı Sözü





Akşam olmadan güneş batmadan gel gel
Beni yalnız bırakma beni sensiz bırakma (2x)
Korkuyorum gecelerin karanlığında
Korkuyorum sessizliğin çığlıklarından
Böyle yaşamaya alışkın değilim
Korkuyorum gelecek yarınlarımdan (2X)
Hasret gelmeden sabrım bitmeden gel gel
Beni yalvartmadan beni çıldırtmadan gel(2X) (ağlatmadan gel)
Sen mi yazdın benim alın yazımı
Sen mi çizdin benim yalnızlığımı
Söyle bana seni kim değiştirdi
Değiştirdin benim tüm yaşantımı
Akşam olmadan güneş batmadan gel gel
Beni yalnız bırakma beni sensiz bırakma";;Soner Arıca – Akşam Olmadan Gel 
"Doğuş – Darbe Şarkı Sözü





Beni de sen yaratmadın mı
Bende gülmek istiyorum
Her gelen bir darbe vuruyor
Neden acılar içindeyim
Her İnsan mevsimi görüyor
Evime karlar yağıyor
Her gelen bir darbe vuruyor
Neden acılar içindeyim
Yetmedi mi çektiklerim
Bitmedi mi çilelerim
Her anım kahır mektubu
Bitmiyor bi türlü kederlerim 
Tanrım sen her şeyi görüp afedersin
Benim çektiklerim biter mi ne dersin
Günahlarım varsa af diliyorum
İsyanım sana değil kendime bilesin";;Doğuş – Darbe 
"Oğuzhan Koç – Gül ki Sevgilim Şarkı Sözü





Bu sabah yerini kimler almış
Diye düşündüm kalktığımda
Hiçbiri seni, hiçbiri beni
Hiçbiri bizi anlamamış
Bu sabah telefonu hiç açmadım
Çaldı durdu aldırmadım
Hiç bir şey seni, seni düşünmemi
Engellemez ben anladım bu sabah
Gül ki sevgilim, gül ki gözlerin
Solmasın sakın aşk çiçeğim
Gel biraz bana, gel biraz daha
Arşa çıksın nağmelerin
Bu sabah adını boş kağıtlara
Yazdım astım duvarlara
Ben bir tek seni eski günleri
Özledim canım anlasana
Bu sabah yatağın boş kısmını
Resimlerinle süsledim
Gördün halimi anla derdimi
Ne olur dön çok özledim bu sabah
Gül ki sevgilim, gül ki gözlerin
Solmasın sakın aşk çiçeğim
Gel biraz bana, gel biraz daha
Arşa çıksın nağmelerin, bu sabah";;Oğuzhan Koç – Gül ki Sevgilim 
"Sezen Aksu – Göç Şarkı Sözü





Bu görmüş geçirmiş raylar
Bu istasyonlar
Bu liman
Bu boş ya da dolu kalkan vapurlar
Kim bilir ne çok şey bilir
Anlatamazlar
Bitmez umuda yolculuk
Bağlayamazlar
Ya bayram ya matem her şehre varışları
Kadere kısmet bitişleri, başlayışları
Dere tepe, dağ bayır, deniz derya aşar
Taşır, tutunacak sebep arayışları
Yok bu yolun kılavuzu
Ne olacağı ne malum
Kim hak ediyor cezayı
Kul yazar kul bozar kanun";;Sezen Aksu – Göç 
"Yıldız Tilbe – Hikaye Şarkı Sözü





Ne varsa tadında hepsi damağımda
Öptüm arasızca düştüm içine
Seyrediyorum öyle ağzım açık böyle
Hayallerim var tonla senden bu yana 
Aşk icadı sevişmeler görünmez güzellikler
Hayat benim masal benim
Bilen bilmeyen  söyler
Hikaye, hikaye, hikaye, hikaye
Çok tutar bu sevda yarın sinemalarda
Bir selfie çekeceğim şöyle dur ve gülümse
Tek bir poz ver önce paylaşalım yükle
Seviniyorum görünce birden günde bin kere
Ateş dudağında tutuştuğum anda
Biraz Temmuz biraz Mart aşkın bana şart
Ay küçüldü gökte herkese müsaade
Hemen bırakmam gitme sen hep bana  kal ";;Yıldız Tilbe – Hikaye 
"Anıl Durmuş – Gönlüme Şarkı Sözü





Karardın mı ey gönlüm
Nedir bu hissizlik
Seni yolundan edenleri fazla sevdin
Ve de ben kaldım eksik
Darıldın mı ey gönlüm
Var bi sessizlik
Vakit koyu bir oyun
Biz senle neler erittik
Yok güldüğüm aşka günah sadece
Varsa yoksa azaba ortağım öylece
Bilemezler ben hangi yolda
Kendimi kaybettim düştüm bu hallere
Söz geçmiyor diye reva mı bu yaptıkların
Dünyanın her yerinde
Ama gönlüm ziyan etme beni artık gecelerde";;Anıl Durmuş – Gönlüme 
"Sıla – Özledim Onu Şarkı Sözü





Özlediklerimi geri verin
Tekrar onlar özlenir
Onun konuşmayan dilini verin
O kadar özledim onu
Bağıran yalanları geri verin
Tekrar onlara inanılır
Cehennem oğlanı geri verin
O kadar özledim onu
Nereye konur aşk göz önünde bir yere mi
Güvendiğin kadarıyla her yere mi
İlah gibi yaşatırsan varım dedi
Ne olursa kabulum.. özledim onu..
Nereye konur aşk göz önünde bir yere mi
Güvendiğin kadarıyla her yere mi
İlah gibi yaşatırsan varım dedi
Ne olursa kabulum.. özledim onu..
Özlediklerimi geri verin
Tekrar onlar özlenir";;Sıla – Özledim Onu 
"Oğuzhan Koç – Bulutlara Esir Olduk Şarkı Sözü





Yine yaz bitti
Biz göremeden güneşi
Bulutlara esir olduk
Kararıp gitti yıllarım bilemeden
Neşeyi büyük sandıklara koyduk
Gelen olmadı yerine
Kimse sormadı yüreğinde bu koca boşluk niye
İnen olmadı daha derine
Ki ben yormadım bu rüyayı
Bir gün bile gideceğine
Yokluğunda yine yüz çevirdim aşka
Güz geçirdim onca yaprağım sarardı soldu
Sonbaharın sonunda bahar yok artık
Yağmuru vurunca derde dert oldu
Rüzgarı vurunca derbeder oldum";;Oğuzhan Koç – Bulutlara Esir Olduk 
"Sezen Aksu – Hayat Sana Teşekkür Ederim Şarkı Sözü





Oyuncak bebekleri sevmedim çok,
Evcilik oynamayı
Alkışı sevdim
Bıçak sırtlarında dolaşmayı
Tehlikeli sularda seyredip pupa yelken
Geçici emniyetlere ulaşmayı
Kadınları, erkekleri, romanları
Hele baş kaldıranları
Acılarım oldu herkes gibi elbet
Herkese kısmet olmayan sevinçlerim
Unutulmayı da göze aldım, evet
Hayat sana teşekkür ederim";;Sezen Aksu – Hayat Sana Teşekkür Ederim 
"Bilal SONSES – Eden Bulur Şarkı Sözü





Ardında Yaşlı Gözüm, Yüzümde Aynı Hüzün..
Ne Safmışım, İnanmışın Yalanlarına
Her şeyi Yok Saydım, Kendine Yok Saygın..
Yakmışım, Bitirmişim Kalanlarıda..
Uyandım Uykudan, Bir Sey Diyemedim..
Ben Sen Harici Hiç Bir Şey Dilemedim..
Aktı Gözümden Yaşlar Hiç Silemedin…
Öyle Bağlıydım Ki, Hiç Bir Yere Gidemedim
Eden Bulur Kalmaz ki Yanına
Eden Bulur Be kim Bilir Ne Düşer Payına
Olur Ya, Belki Çıkamazsam Yarına
Dualarım Senin Olsun, Gelme Yanıma
Eden Bulur Kalmaz ki Yanına
Eden Bulur Be kim Bilir Ne Düşer Payına
Olur Ya, Belki Çıkamazsam Yarına
Dualarım Senin Olsun, Gelme Yanıma
Uyandım Uykudan, Bir Sey Diyemedim..
Ben Sen Harici Hiç Bir Şey Dilemedim..
Aktı Gözümden Yaşlar Hiç Silemedin…
Öyle Bağlıydım Ki, Hiç Bir Yere Gidemedim
Eden Bulur Kalmaz ki Yanına
Eden Bulur Be kim Bilir Ne Düşer Payına
Olur Ya, Belki Çıkamazsam Yarına
Dualarım Senin Olsun, Gelme Yanıma
Eden Bulur Kalmaz ki Yanına
Eden Bulur Be kim Bilir Ne Düşer Payına
Olur Ya, Belki Çıkamazsam Yarına
Dualarım Senin Olsun, Gelme Yanıma";;Bilal SONSES – Eden Bulur 
"Aytekin Ataş – Tutam Yar Elinden Şarkı Sözü





Tutam yar elinden tutam
Çıkam dağlara dağlara
Olam bir yareli bülbül
İnem bağlara bağlara
Birin bilir birin bilmez
Bu dünya kimseye kalmaz
Yar ismini ansam olmaz
Düşer dillere dillere
Emrah der ki bugünümdür
Arşa çıkan tütünümdür
Yare gidecek günümdür
Düşem yollara yollara";;Aytekin Ataş – Tutam Yar Elinden 
