baslik,sarki_sozu
Allah Allah Hüve Rabbüna Rahmani,"Allah Allah hüve Rabbüna Rahmani
Allah Allah hüve Rabbüna Rahmani
İrham bi fazlı şeyda Geylani
İrham bi fazlı şeyda Geylani
Ya Hayy, ya Hayy, ya Hayyy, ya Hayy
 
A Sultanım Sen var iken
Ya ben kime yalvarayım ya hu
A Sultanım Sen var iken
Ya ben kime yalvarayım ya hu
 
Allah Allah hüve Rabbüna Rahmani
Allah Allah hüve Rabbüna Rahmani
İrham bi fazlı şeyda Geylani
İrham bi fazlı şeyda Geylani
Ya Hayy, ya Hayy, ya Hayyy, ya Hayy
 
İsmin Gani Settar iken
Ya ben kime yalvarayım ya hu
İsmin Gani Settar iken
Ya ben kime yalvarayım ya hu
 
Allah Allah hüve Rabbüna Rahmani
Allah Allah hüve Rabbüna Rahmani
İrham bi fazlı şeyda Geylani
İrham bi fazlı şeyda Geylani
Ya Hayy, ya Hayy, ya Hayyy, ya Hayy
Ya Hayy, ya Hayy, ya Hayyy, ya Hayy
 
Yunus'u bir huş eyleyen
Ya ben kime yalvarayım
Yunus'u bir huş eyleyen
Ya ben kime yalvarayım
 
Allah Allah hüve Rabbüna Rahmani
Allah Allah hüve Rabbüna Rahmani
İrham bi fazlı şeyhina Geylani
İrham bi fazlı şeyhina Geylani
Ya Hayy, ya Hayy, ya Hayyy, ya Hayy"
Aşığım Resule Ben Hasret İle,"Resulün izini görüp te öpsem
Öpüp hasretiyle yüzümü sürsem
Rüyamda bir kere yüzünü görsem
Aşığım Resule ben hasret ile
Rüyamda bir kere yüzünü görsem
Aşığım Resule ben hasret ile
 
Aşığım sıdk ile ben Muhammed’e
Ne kadar seversem doymam yine de
Onu görmek bütün arzum dileğim
Yıllarca hasreti yandı sinede
Onu görmek bütün arzum dileğim
Yıllarca hasreti yandı sinede
 
Öyle bir aşktır ki yakıp da gider
Yanık gönülleri tarumar eder
Yüreğimde dert var içimde keder
Aşığım Resule ben hasret ile
Yüreğimde dert var içimde keder
Aşığım Resule ben hasret ile
 
Aşığım sıdk ile ben Muhammed’e
Ne kadar seversem doymam yine de
Onu görmek bütün arzum dileğim
Yıllarca hasreti yandı sinede
Onu görmek bütün arzum dileğim
Yıllarca hasreti yandı sinede
 
Şu gönül aşkıyla yanar çırpınır
Göz görmezse bile gönüller tanır
Bu gönül sayfası sanma kapanır
Aşığım Resule ben hasret ile
Bu gönül sayfası sanma kapanır
Aşığım Resule ben hasret ile
 
Aşığım sıdk ile ben Muhammed’e
Ne kadar seversem doymam yine de
Onu görmek bütün arzum dileğim
Yıllarca hasreti yandı sinede
Onu görmek bütün arzum dileğim
Yıllarca hasreti yandı sinede
 
Gönül ağlar yürek yanar
Bu gece yüreğim çırpınır yine gizlice
Seviyorum onu inan delice
Aşığım Resule ben hasret ile
Seviyorum onu inan delice
Aşığım Resule ben hasret ile
 
Aşığım sıdk ile ben Muhammed’e
Ne kadar seversem doymam yine de
Onu görmek bütün arzum dileğim
Yıllarca hasreti yandı sinede
Onu görmek bütün arzum dileğim
Yıllarca hasreti yandı sinede"
Rasul Kızı Fatıma,"Sen canların cananısın
Dertlilerin dermanısın
Sen canların cananısın
Dertlilerin dermanısın
 
Farukimin anasısın
Rasul kızı Fatıma
Farukimin anasısın
Rasul kızı Fatıma
 
Ya Fatıma Fatıma
Rasul kızı Fatıma
Ya Fatıma Fatıma
Rasul kızı Fatıma
 
Nübüvvetten bir parça
Rasul kızı Fatıma
Nübüvvetten bir parça
Rasul kızı Fatıma
 
Ey annemiz annemiz
Can annemiz annemiz
Ey annemiz annemiz
Can annemiz annemiz
 
Hanımların sultanı
Resul kızı Fatıma
Hanımların sultanı
Resul kızı Fatıma"
Sultanım Allah,"Aşkınla yandır sultanım Allah
Şevkinle döndür sultanım Allah
Sensin ilahım, püşt-ü penahım
Affet günahım, sultanım Allah
 
Aşkınla yandır sultanım Allah
Şevkinle döndür sultanım Allah
 
Nefsimi bildir, aslımı buldur
Ölmeden öldür, sultanım Allah
Sensin ilahım, püşt-ü penahım
Affet günahım, sultanım Allah
 
Aşkınla yandır sultanım Allah
Şevkinle döndür sultanım Allah
 
Al beni benden, kaydı bedenden
Ayırma senden, sultanım Allah
 
Aşkınla yandır sultanım Allah
Şevkinle döndür sultanım Allah
 
Eyle Zekai hamdü senayı
Daim duayı, sultanım Allah
 
Eyle Zekai hamdü senayı
Daim duayı, sultanım Allah
 
Eyle Zekai hamdü senayı
Daim duayı, sultanım Allah
 
Al beni benden, kaydı bedenden
Ayırma senden, sultanım Allah
 
Nefsimi bildir, aslımı buldur
Ölmeden öldür, sultanım Allah"
Beni Rasulümden Ayırma Ya Rab,"Bülbülüm ayrıyım gonca gülümden
Zor gelir ayrılık inan ölümden
Bülbülüm ayrıyım gonca gülümden
Zor gelir ayrılık inan ölümden
 
Kimseler anlamaz benim halimden
Bülbülü gülüne kavuştur ya Rab
Kimseler anlamaz benim halimden
Beni Rasulümden ayırma ya Rab
 
Beklerim gülümü açılsın diye
Kokusu nur olup saçılsın diye
Ayrı düştük gülüm söyle ne diye
 
Beni Rasulüme kavuştur ya Rab
Beni Habibine kavuştur ya Rab
 
Bülbülüm dilimde kalmadı derman
Can Ahmedi ister dinlemez ferman
Merhamet eyle sen yüce Yaradan
Beni Rasulümden ayırma ya Rab
Merhamet eyle sen yüce Yaradan
Beni Habibinden ayırma ya Rab
 
Beklerim gülümü açılsın diye
Kokusu nur olup saçılsın diye
Ayrı düştük gülüm söyle ne diye
Beni Rasulüme kavuştur ya Rab
 
Beklerim gülümü açılsın diye
Kokusu nur olup saçılsın diye
Ayrı düştük gülüm söyle ne diye
Beni Rasulümden ayırma ya Rab
Beni Habibine kavuştur ya Rab
Beni Rasulümden ayırma ya Rab"
Aşkın Düştü Yüreğime,"Aşkın düştü yüreğime
Yanarım ya Rasulallah
Cemalini Hayal edip
Dönerim ya Rasulallah
Dönerim ya Rasulallah
Cemalini Hayal edip
Dönerim ya Rasulallah
Dönerim ya Rasulallah
Yaaa Rasulallah
 
El medet ya Rasulallah
El medet ya Habiballah
Bu günahkar ümmetine
Şefaat ya Rasulallah
Şefaat ya Rasulallah
Bu günahkar ümmetine
Şefaat ya Rasulallah
Şefaat ya Rasulallah
 
Karalıdır yüzüm size
Şefaat eyle bize
Senin bıraktığın ize
Düşerim ya Rasulallah
Düşerim ya Rasulallah
Senin bıraktığın ize
Düşerim ya Rasulallah
Düşerim ya Rasulallah
Yaaa Rasulallah
 
El medet ya Rasulallah
El medet ya Habiballah
Bu günahkar ümmetine
Şefaat ya Rasulallah
Şefaat ya Rasulallah
Bu günahkar ümmetine
Şefaat ya Rasulallah
Şefaat ya Rasulallah
 
Bir yaram var akar kanı
Size ermektir muradım
Benim sendir dermanım
Sararım ya Rasulallah
Sararım ya Rasulallah
Benim sendir dermanım
Sararım ya Rasulallah
Sararım ya Rasulallah
 
El medet ya Rasulallah
El medet ya Habiballah
Bu günahkar ümmetine
Şefaat ya Rasulallah
Şefaat ya Rasulallah
Bu günahkar ümmetine
Şefaat ya Rasulallah
Şefaat ya Rasulallah"
Asrı Sani,"Ey bedîé asrı sanî
Tu hekîmî tu sultanî
Tu hem canî hem cananî
Derdémera tu dermanî
Ey dîlberé ğevsé sanî
Hedyé meyî tuj rehmanî
 
Derdéme ra tu dermanî
Ey dîlberé ğevsé sanî
Hedyé meyî tuj rehmanî
 
îro bıte em bun yehya
Qelbé meda vekıt mehya
Bıte şewu ukba dunya
Heye ğanî bé ruhanî
îro bıte em bun yehya
Qelbé meda vekıt mehya
Bıte şewu ukba dunya
Heye ğanî bé ruhanî
Heye ğanî bé ruhanî
 
Te ya şéğî ya seyyîdî
Ya heyyatî, ya îmanî
Yewmel ağîr ve senedî
Ya men bînkum îstîmdadî
Men aleyhî î’tîmadî
îşfe’bîma ya sultanî
 
Ya men bînkum îstîmdadî
Men aleyhî î’tîmadî
îşfe’bîma ya sultanî
 
Ente mecbaul muslîmîn
Ve entel kutul faîzîl
Bıke sîtqelîl muttekîm
Ya seyyîdîl urretel aynîl
Ente mecbaul muslîmîn
Ve entel kutul faîzîl
Bıke sîtqelîl muttekîm
Ya seyyîdîl urretel aynîl
Ya seyyîdîl urretel aynîl
 
Ey vechî gül tenî amber
Ceddî rehber, kendî rehber
Ey yüzü ak, şahı server
Ahmedî nur canan dîlber
Haktan gelen kutlu haber
Ey hîmmetkar gavsî sanî
Ahmedî nur canan dîlber
Haktan gelen kutlu haber
Ey hîmmetkar gavsî sanî
 
Rızanı ced gîbî bakar
Gözünden gönüle akar
Mîskî amber gîbî kokar
Ey neslî bak el Huseynî
Rızanı ced gîbî bakar
Gözünden gönüle akar
Mîskî amber gîbî kokar
Ey neslî bak el Huseynî
Ey neslî bak el Huseynî
 
Ew dîlbere çawen belek
Ew raşîde ew du felek
Alem alek seyda alek
Ğıpta tetkı însu melek
Wek yusufî ruye çelenk
Şahé mısré jıkır alî
 
Ğıpta tetkı însu melek
Wek yusufî ruye çelenk
Şahé mısré jıkır alî
 
Ey bıra te usnu cemal
Bıte qutsaé wé kemal
Ey pîre mecmaé amal
Eye sultané cîhané
Ey bıra te usnu cemal
Bıte qutsaé wé kemal
Ey pîre mecmaé amal
Eye sultané cîhané
Eye sultané cîhané"
Arayı Arayı Bulsam İzini,"Arayı arayı bulsam izini
İzinin tozuna sürsem yüzümü
Hak nasib eylese görsem yüzünü
Ya Muhammed Canım arzular seni
 
Bir mübarek sefer olsa da gitsem
Kabe yollannda tozlara batsam
Hub cemalin birkez düşümde görsem
Ya Muhammed Canım arzular seni
 
Zerrece kalmadı kalbimde hile
Sıdk ile girmişem ben bu hak yola
Ebu Bekir, Ömer, Osman'da bile
Ya Muhammedi Canım arzular seni
 
Ali ve Hasan,(bilgi yelpazesi.net) Hüseyin anda
Sevdası gönüllerde muhabbet canda
Yarın mahşer günü Hak divanda
Ya Muhammed Canım arzular seni
 
Yunus senin methin eder dillerde
Dillerde dillerde her gönüllerde
Arayı arayı gurbet illerde
Ya Muhammed Canım arzular seni"
Cennette Cennette,"Cennette cennette cennette cennette
Öyle bir düğün ki dile destandır destandır
Cümle alem Can Ahmede hayrandır hayrandır
Habibullah hem Nebi hem Sultandır
 
Efendimin düğünü var cennette cennette
Cennette cennette cennette cennette
Can Ahmedin bir gülü var cennette cennette
Cennette cennette cennette cennette
Allah Allah lailahe illallah illallah
İllallah illallah illallah illallah
Salat selam Nur Muhammed sallallah sallallah
Sallallah sallallah sallallah sallallah
 
Ebu Bekir gülü almış eline eline
Ömer kuşağın sarmış beline beline
Osman Ali vurur gönül teline teline
 
Efendimin düğünü var cennette cennette
Cennette cennette cennette cennette
Can Ahmedin bir gülü var cennette cennette
Cennette cennette cennette cennette
Allah Allah lailahe illallah illallah
İllallah illallah illallah illallah
Salat selam Nur Muhammed sallallah sallallah
Sallallah sallallah sallallah sallallah
 
Kevser ırmakları dolmuş akıyor akıyor
Bilalin o güzel sesi yakıyor yakıyor
Sahabeler tacına gül takıyor takıyor
 
Efendimin düğünü var cennette cennette
Cennette cennette cennette cennette
Can Ahmedin bir gülü var cennette cennette
Cennette cennette cennette cennette
Allah Allah lailahe illallah illallah
İllallah illallah illallah illallah
Salat selam Nur Muhammed sallallah sallallah
Sallallah sallallah sallallah sallallah
 
Hasanla Hüseyin gelmiş köyüne köyüne
Hamzanın muhabbet dolmuş gönlüne gönlüne
Salat selam olsun cennet gülüne gülüne
 
Efendimin düğünü var cennette cennette
Cennette cennette cennette cennette
Can Ahmedin bir gülü var cennette cennette
Cennette cennette cennette cennette
Allah Allah lailahe illallah illallah
İllallah illallah illallah illallah
Salat selam Nur Muhammed sallallah sallallah
Sallallah sallallah sallallah sallallah
 
Allah Allah lailahe illallah illallah
İllallah illallah illallah illallah
Salat selam Nur Muhammed sallallah sallallah
Sallallah sallallah sallallah sallallah
Allah Allah lailahe illallah illallah
İllallah illallah illallah illallah
Salat selam Nur Muhammed sallallah sallallah
Sallallah sallallah sallallah sallallah"
Mekke'nin Yollarında Mecnun Olmak İstiyorum,"Ben Mekke’nin yollarında,
Mecnun olmak istiyorum,
Kavuşup da sultanıma,
Meftun olmak istiyorum,
 
Gel, gel, gel Ya Resulallah,
Çok özledim seni, yakar aşkın beni,
Bu gönül divane hep arıyor seni,
 
Ben Mekke’nin dağlarında,
Örümceği bağlarında,
Resul kokan mağarada,
Aşka yanmak istiyorum,
 
Gel, gel, gel Ya Resulallah,
Çok özledim seni, yakar aşkın beni,
Bu gönül divane hep arıyor seni,
 
Ben Mekke’nin çöllerinde
Kavrulan her devesinde
Resulün gezdiği yerlerde
Toprak olmak istiyorum
 
Gel, gel, gel Ya Resulallah,
Çok özledim seni, yakar aşkın beni,
Bu gönül divane hep arıyor seni,
 
Ben Mekke’yi Medine’yi
Ravzada yatan gülleri
Çok sevdiğim bu yerleri
Gidip görmek istiyorum
 
Gel, gel, gel Ya Resulallah,
Çok özledim seni, yakar aşkın beni,
Bu gönül divane hep arıyor seni,
Gel Gel Gel Efendim Sultanım gel ya Rasulallah
Ya Habiballah Ya Nebiyyallah gel gel ya Rasulallah"
Koy Bizi De Cennetine,"Ben bu amellerim ile
Giremem o Cennetine
Rabbim bizi de affeyle
Koy bizi de Cennetine
 
Cennetine Cennetine
Koy bizi de Cennetine
Rabbim bizi de affeyle
Koy bizi de Cennetine
 
Cennetine Cennetine
Koy bizi de Cennetine
Rabbim bizi de affeyle
Koy bizi de Cennetine
 
Çok korkuyorum ölümden
Ölüm değil amelimden
Korkum Azrail’den değil
Cehennemin ateşinden
Korkum Azrail’den değil
Cehennemin ateşinden
 
Cennetine Cennetine
Koy bizi de Cennetine
Rabbim bizi de affeyle
Koy bizi de Cennetine
 
Cennetine Cennetine
Koy bizi de Cennetine
Rabbim bizi de affeyle
Koy bizi de Cennetine
 
Cennetine Cennetine
Koy bizi de Cennetine
Rabbim bizi de affeyle
Koy bizi de Cennetine
 
Gündüz hayaliyle coşar
Gece uykularım kaçar
Bu kalp yalnız Sen’le atar
Koy bizi de Cennetine"
Gönlünü Aç Mevlaya,"Gönlünü aç Mevlaya
Yalvar kardeşim yalvar
Affeyle ya Rab
Rahmeyle ya Rab
Affeyle ya Rab
Rahmeyle ya Rab
 
Hulusi bir kalp ile
Yalvar kalp gelsin dile
Hulusi bir kalp ile
Yalvar kalp gelsin dile
Mevlanın rahmeti çok
Evliyalar vesile
Mevlanın rahmeti çok
Evliyalar vesile
 
Çok meyletme dünyaya
Bağlanma masivaya
Çok meyletme dünyaya
Bağlanma masivaya
Gönlünü aç Mevlaya
Yalvar kardeşim yalvar
Gönlünü aç Mevlaya
Yalvar kardeşim yalvar
 
Hulusi bir kalp ile
Yalvar kalp gelsin dile
Hulusi bir kalp ile
Yalvar kalp gelsin dile
Mevlanın rahmeti çok
Evliyalar vesile
Mevlanın rahmeti çok
Evliyalar vesile
 
Bul bir sadık evliya
Sev onu doya doya
Bul bir sadık evliya
Sev onu doya doya
Canu dilden Hüdaya
Yalvar kardeşim yalvar
Canu dilden Hüdaya
Yalvar kardeşim yalvar
 
Hulusi bir kalp ile
Yalvar kalp gelsin dile
Hulusi bir kalp ile
Yalvar kalp gelsin dile
Mevlanın rahmeti çok
Evliyalar vesile
Mevlanın rahmeti çok
Evliyalar vesile
 
Git gönül tabibine
Dal deryanın dibine
Git gönül tabibine
Dal deryanın dibine
El aç yüce Rabbine
Yalvar kardeşim yalvar
El aç yüce Rabbine
Yalvar kardeşim yalvar
 
Hulusi bir kalp ile
Yalvar kalp gelsin dile
Hulusi bir kalp ile
Yalvar kalp gelsin dile
Mevlanın rahmeti çok
Evliyalar vesile
Mevlanın rahmeti çok
Evliyalar vesile
 
Girelim bu ummana
Aldırmadan zamana
Girelim bu ummana
Aldırmadan zamana
Candan yüce Rahmana
Candan yüce Mevlaya
Yalvar kardeşim yalvar
 
Hulusi bir kalp ile
Yalvar kalp gelsin dile
Hulusi bir kalp ile
Yalvar kalp gelsin dile
Mevlanın rahmeti çok
Evliyalar vesile
Mevlanın rahmeti çok
Evliyalar vesile
 
Gel katıl zikrullaha
Gönüller kalksın şaha
Gel katıl zikrullaha
Gönüller kalksın şaha
Rahmeti çok Allah’a
Yalvar kardeşim yalvar
Rahmeti çok Allah’a
Yalvar kardeşim yalvar
 
Hulusi bir kalp ile
Yalvar kalp gelsin dile
Hulusi bir kalp ile
Yalvar kalp gelsin dile
Mevlanın rahmeti çok
Evliyalar vesile
Mevlanın rahmeti çok
Evliyalar vesile
 
Affeyle ya Rab
Rahmeyle ya Rab
Affeyle ya Rab
Rahmeyle ya Rab
Affeyle ya Rab
Rahmeyle ya Rab
Affeyle ya Rab
Rahmeyle ya Rab"
Gül İçinde Gül Sultanım,"Sana Canım dedim Canım
Ey benimdir Güzel Sultanım
Özledim bu cananı
Gül içinde gül Sultanım
Sultanım
 
Akan zemzemsin çöllerde,
Hasretsin açan güllerde,
Bir sevdasın gönüllerde,
Sultanım
Gül sultanım
 
Akan zemzemsin çöllerde,
Hasretsin açan güllerde,
Bir sevdasın gönüllerde,
Sultanım
Gül sultanım
 
Gül oldum gül bahçesinde,
Cansın gönül köşesinde
Daldım bülbülün sesine,
Gül içinde gül Sultanım
Sultanım
 
Akan zemzemsin çöllerde,
Hasretsin açan güllerde,
Bir sevdasın gönüllerde,
Sultanım
Gül sultanım
 
Akan zemzemsin çöllerde,
Hasretsin açan güllerde,
Bir sevdasın gönüllerde,
Sultanım
Gül sultanım
 
Aşkın alev alev yakar
Derya olup güle akar
Her yanın gül gibi kokar
Gül içinde gül Sultanım
Sultanım
 
Akan zemzemsin çöllerde,
Hasretsin açan güllerde,
Bir sevdasın gönüllerde,
Sultanım
Gül sultanım
 
Akan zemzemsin çöllerde,
Hasretsin açan güllerde,
Bir sevdasın gönüllerde,
Sultanım
Gül sultanım
 
Resulün gönlüne yaralı
Nur cemaline sevdalı
Gönlümün çiçeği balı
Gül içinde gül Sultanım
Sultanım
 
Akan zemzemsin çöllerde,
Hasretsin açan güllerde,
Bir sevdasın gönüllerde,
Sultanım
Gül sultanım
 
Akan zemzemsin çöllerde,
Hasretsin açan güllerde,
Bir sevdasın gönüllerde,
Sultanım
Gül sultanım
 
Akan zemzemsin çöllerde,
Hasretsin açan güllerde,
Bir sevdasın gönüllerde,
Sultanım
Gül sultanım
 
Akan zemzemsin çöllerde, 
Hasretsin açan güllerde,
Bir sevdasın gönüllerde, 
Sultanım
Gül sultanım"
Gül Açar Gül Açar,"Gül açar Gül açar
Medine’nin dört yanına
Nur Saçar Nur saçar
Gül açar Gül açar
Kainatın her yanına
Nur Saçar
Efendimin Ravzasında gül açar
Efendimin Ravzasında gül açar
Gül açar
 
Al beni de götür yüce Nebi ye
Onun hasretiyle döndüm deliye
Gidemedim efendime ne diye
O güzelin ravzasında gül açar
Efendimin dünyasında gül açar
Gül açar
 
Gül açar Gül açar
Medine’nin dört yanına
Nur Saçar Nur saçar
Gül açar Gül açar
Kainatın her yanına
Nur Saçar
Efendimin Ravzasında gül açar
Efendimin Ravzasında gül açar
Gül açar
 
Gül açar Gül açar
Medine’nin dört yanına
Nur Saçar Nur saçar
Gül açar Gül açar
Kainatın her yanına
Nur Saçar
Efendimin Ravzasında gül açar
Efendimin Ravzasında gül açar
Gül açar
 
Medine’de ravza güldür gülistan
Can Ahmedin aşkı dillere destan
O Hicaz elinden bir haber dosta
O güzelin ravzasında gül açar
Efendimin dünyasında gül açar
Gül açar
 
Gül açar Gül açar
Medine’nin dört yanına
Nur Saçar Nur saçar
Gül açar Gül açar
Kainatın her yanına
Nur Saçar
Efendimin Ravzasında gül açar
Efendimin Ravzasında gül açar
Gül açar
 
Gülü aldır gülü pembe gülü al
Gönül sevdasıyla mecnun olacak
Herkes onun aşkı ile dolacak
O güzelin ravzasında gül açar
Efendimin dünyasında gül açar
Gül açar
 
Gül açar Gül açar
Medine’nin dört yanına
Nur Saçar Nur saçar
Gül açar Gül açar
Kainatın her yanına
Nur Saçar
Efendimin Ravzasında gül açar
Efendimin Ravzasında gül açar
Gül açar
 
Gül açar Gül açar
Medine’nin dört yanına
Nur Saçar Nur saçar
Gül açar Gül açar
Kainatın her yanına
Nur Saçar
Efendimin Ravzasında gül açar
Efendimin Ravzasında gül açar
Gül açar"
Görsem Ağlayı Ağlayı,"Besmelesiz çıkma yola,
Kuran, sünnet bize kalem,
Medine'de ol Rasule, 
Medine'deki O Güle
Baksam ağlayı ağlayı..
 
Mekke, Medine yollari,
Gezemedim o illeri,
Mis kokan o beldeleri,
Gezsem ağlayı ağlayı..
 
Bedir, Uhud, Hendeklerde,
Nice şehit var o yerde,
Dualar edin her yerde,
Etsem ağlayı ağlayı..
 
Mekke, Medine yollari,
Gezemedim o illeri,
Mis kokan o beldeleri,
Gezsem ağlayı ağlayı.."
Özledim Seydam,"Sevdim seni dillerdeyim
Uzak gurbet illerdeyim
Sevdim seni dillerdeyim
Uzak gurbet illerdeyim
 
Veysel gibi çöllerdeyim
Seydam seni çok özledim
Veysel gibi çöllerdeyim
Seydam seni çok özledim
 
Dilimdesin hece hece
Gönül sır bir bilmece
Düşümde gördüm dün gece
Seydam seni çok özledim
 
Uzaklarda derdim çoktur
Hasretin kalbime oktur
Uzaklarda derdim çoktur
Hasretin kalbime oktur
 
Çare bulamıyor doktor
Seydam seni çok özledim
Çare bulamıyor doktor
Seydam seni çok özledim
 
Dilimdesin hece hece
Gönül sır bir bilmece
Düşümde gördüm dün gece
Seydam seni çok özledim
 
Kalbimde savrulur harman
Gönül dinlemiyor ferman
Kalbimde savrulur harman
Gönül dinlemiyor ferman
 
Bakışların derde derman
Seydam seni çok özledim
Bakışların derde derman
Seydam seni çok özledim
 
Dilimdesin hece hece
Gönül sır bir bilmece
Düşümde gördüm dün gece
Seydam seni çok özledim
 
Entarin topuğun döver
Melekler hep seni över
Entarin topuğun döver
Melekler hep seni över
 
Cemalin görenler sever
Seydam seni çok özledim
Cemalin görenler sever
Seydam seni çok özledim
 
Dilimdesin hece hece
Gönül sır bir bilmece
Düşümde gördüm dün gece
Seydam seni çok özledim
Seydam seni çok özledim"
Dünya Sana Güvenemem,"Fani dünya ne istersin
Gün olur sen de bitersin
Fani dünya ne istersin
Gün olur sen de bitersin
 
Bazen dert, bazen kedersin
Güvenemem sana dünya
Güvenemem sana dünya
 
Güvenemem, güvenemem
Dünya sana güvenemem
Sen de ben gibi fanisin
Senin için gam çekemem
Senin için gam çekemem
Sen de ben gibi fanisin
Senin için gam çekemem
Senin için gam çekemem
 
Tez bozmuşsun düzenini
Doyurmadın gözlerini
Çoktan kaybettin kendini
Güvenemem sana dünya
 
Güvenemem, güvenemem
Dünya sana güvenemem
Sen de ben gibi fanisin
Senin için gam çekemem
Senin için gam çekemem
Sen de ben gibi fanisin
Senin için gam çekemem
Senin için gam çekemem
 
Kimine saraylar kurdun
Kâh sakindin, kâh kudurdun
Beni yerden yere vurdun
Güvenemem sana dünya
 
Güvenemem, güvenemem
Dünya sana güvenemem
Sen de ben gibi fanisin
Senin için gam çekemem
 
Boş işleri sevdirirsin
Haram demez yedirirsin
Gençliğimi kemirirsin
Güvenemem sana dünya
 
Güvenemem, güvenemem
Dünya sana güvenemem
Sen de ben gibi fanisin
Senin için gam çekemem
 
Sen bizlere imtihansın
İki kapılı bir hansın
Ölümlü fani dünyasın
Güvenemem sana dünya
 
Güvenemem, güvenemem
Dünya sana güvenemem
Sen de ben gibi fanisin
Senin için gam çekemem"
Şu Benim Divane Gönlüm,"Şu Benim Divane Gönlüm
Şu Benim Divane Gönlüm
Yine Hubdan Huba Düştü
Yine Hubdan Huba Düştü
 
Mah Cemalin Şulesinden
Mah Cemalin Şulesinden
Çalkalanıp Göle Düştü
Çalkalanıp Göle Düştü
 
Ah ben nidem, Muhibbim nidem
Ah ben nidem, Muhibbim nidem
Yaralıyam, kime gidem
Ya halim kime arz idem
 
Kiminin Meskeni Külhan
Kiminin Meskeni Külhan
Kimi Derviş Kimi Sultan
Kimi Derviş Kimi Sultan
 
Kimi Yarine Mihman
Kimi Yarine Mihman
Muhibbiden Cüda Düştü
Muhibbiden Cüda Düştü
 
Aman Muhibbi
Felek Bir Gün Cana Kıyar
Aman aman
Sizi Kabdan Kaba Koyar
Ah
Kimi Atlas Libas Giyer
Şükür Bize Aba Düştü
Aman Muhibbi
 
Kul Yusuf'umdur Bu demler
Akıttın sineden Demler
Aman aman
Aman aman
Benim Çektiğim Bu Sitemler
Yardan Bize Caba Düştü.
Muhibbi ben niden
Yaralıyam kime gidem
Ya halimi kime arzedem
 
Ah ben nidem, Muhibbim nidem
Aman nidem nidem
Muhibsiz nidem
Yaralıyam, kime gidem
Ya halim kime arz idem"
Ömür Bir Gün Son Bulacak,"Ömür bir gün son bulacak
Can bedenden ayrılacak
Son evin kabir olacak
Ahirete hazır mısın?
Son evin kabir olacak
Ahirete hazır mısın?
 
Kabir karayılan çıyan
Feryat etsen yoktur duyan
Ömür bitip son bulmadan
Uyan Hak aşkına uyan
Ömür bitip son bulmadan
Mevlanın aşkına dolan.
 
Söyle ne ameller ettin
Ömrünü boşatükettin
Ne olacak ahiretin
Ahirete hazır mısın?
Ne olacak ahiretin
Ahirete hazır mısın?
 
Kabir karayılan çıyan
Feryat etsen yoktur duyan
Ömür bitip son bulmadan
Uyan Hak aşkına uyan
Ömür bitip son bulmadan
Mevlanın aşkına dolan.
 
Secdeye düştü başın
Aktı o gözünden yaşın
Bu dünyadabitti aşın
Ahirete hazır mısın?
Bu dünyadabitti aşın
Ahirete hazır mısın?
 
Kabir karayılan çıyan
Feryat etsen yoktur duyan
Ömür bitip son bulmadan
Uyan Hak aşkına uyan
Ömür bitip son bulmadan
Mevlanın aşkına dolan.
 
Günaha pişman oldun mu
Allah aşkıyla doldun mu
Aradığını buldun mu
Ahirete hazır mısın?
Aradığını buldun mu
Ahirete hazır mısın?
 
Kabir karayılan çıyan
Feryat etsen yoktur duyan
Ömür bitip son bulmadan
Uyan Hak aşkına uyan
Ömür bitip son bulmadan
Mevlanın aşkına dolan.
 
Mizan terazi kurulur
Mahşerde başlar kavrulur
Herkese hesap sorulur
Ahirete hazır mısın?
Herkese hesap sorulur
Ahirete hazır mısın?
 
Kabir karayılan çıyan
Feryat etsen yoktur duyan
Ömür bitip son bulmadan
Uyan Hak aşkına uyan
Ömür bitip son bulmadan
Mevlanın aşkına dolan."
Beytullah'ın Örtüsü Kara,"Beytullah'ın örtüsü kara İllallahu
Kalbimizde açtı yara İllallahu
 
Rasulullah sen bizi ara İllallahu
Habibullah sen bizi ara İllallahu
 
Sen öt bülbül biz uyanalım aşkınla hu
Sen şakı bülbül biz yanalım aşkınla hu"
İslami Halay,"Buhara gül bahçesi
Gül gönlümün hevesi
Sultanım Gavsi Sani
Ciğerimin köşesi
Hay
 
Ehlullah Seydam ehlullah
Evlatı Resulullah
Ehlullah Seydam ehlullah
Evlatı Resulullah
 
Buharanın gülleri
Cezbeden bülbülleri
Sultanım Gavsi Sani
Coşturur gönülleri
Hay
 
Ehlullah Seydam ehlullah
Evlatı Resulullah
Ehlullah Seydam ehlullah
Evlatı Resulullah
 
Buharadan aldılar
Onu seyre daldılar
Sultanımın adını
Duymayanlar duydular
 
Ehlullah Seydam ehlullah
Evlatı Resulullah
Ehlullah Seydam ehlullah
Evlatı Resulullah
 
Ehli beytli Sultanım
Benim canı cananım
Onu sevdim seveli
Allah diyor her yanım
 
Ehlullah Seydam ehlullah
Evlatı Resulullah
Ehlullah Seydam ehlullah
Evlatı Resulullah
 
Ehlullah Seydam ehlullah
Evlatı Resulullah
Ehlullah Seydam ehlullah
Evlatı Resulullah"
