id,baslik,sarki_sozu,sarki_turu
523,Hak Yoluna Sevdalıyız,"adımız var dilden dile
konarız gülden güle
canu dilden aşk
hak yoluna sevdalıyız

adımız var dilden dile
konarız gülden güle
canu dilden aşk
hak yoluna sevdalıyız
canu dilden aşk
hak yoluna sevdalıyız

hakka dönüktür yüzümüz
resuldür peygamberimiz
sevdalıyız izindeyiz
hak yoluna sevdalıyız
sevdalıyız izindeyiz
hak yoluna sevdalıyız

adımız var dilden dile
konarız gülden güle
canu dilden aşk
hak yoluna sevdalıyız

adımız var dilden dile
konarız gülden güle
canu dilden aşk
hak yoluna sevdalıyız
canu dilden aşk
hak yoluna sevdalıyız

bizdeki aşk yürektendir
muhabbetler sevgidendir
sevdamız var gönüldendir
hak yoluna sevdalıyız
sevdamız var gönüldendir
hak yoluna sevdalıyız

adımız var dilden dile
konarız gülden güle
canu dilden aşk
hak yoluna sevdalıyız

adımız var dilden dile
konarız gülden güle
canu dilden aşk
hak yoluna sevdalıyız
canu dilden aşk
hak yoluna sevdalıyız

yüce allahın kuluyuz
hakkın yolunu bulmuşuz
resule hayran olmuşuz
hak yoluna sevdalıyız
resule hayran olmuşuz
hak yoluna sevdalıyız

adımız var dilden dile
konarız gülden güle
canu dilden aşk
hak yoluna sevdalıyız

adımız var dilden dile
konarız gülden güle
canu dilden aşk
hak yoluna sevdalıyız
canu dilden aşk
hak yoluna sevdalıyız

adımız var dilden dile
konarız gülden güle
canu dilden aşk
hak yoluna sevdalıyız

adımız var dilden dile
konarız gülden güle
canu dilden aşk
hak yoluna sevdalıyız
canu dilden aşk
hak yoluna sevdalıyız
",ilahi
524,Tövbe Allahım Tövbe,"benim yüreğim yara
ağlarım yüzüm kara
gitsem diyara
affeyle allahım
gitsem diyara
affeyle allahım

tövbe allahım tövbe
bütün günahlarıma
pişmanım
geldim senin affına
pişmanım
geldim senin affına

biçareyim yanarım
an seni anarım
dağılmıyor efkarım
affeyle allahım
dağılmıyor efkarım
affeyle allahım

tövbe allahım tövbe
bütün günahlarıma
pişmanım
geldim senin affına
pişmanım
geldim senin affına

kulum mevlasın
derde devasın
gönül sana susasın
affeyle allahım
gönül sana susasın
affeyle allahım

tövbe allahım tövbe
bütün günahlarıma
pişmanım
geldim senin affına
pişmanım
geldim senin affına

rahmetin çoktur rab
çektiklerim ızdırap
gönül harap
affeyle allahım
gönül harap
affeyle allahım

tövbe allahım tövbe
bütün günahlarıma
pişmanım
geldim senin affına
pişmanım
geldim senin affına

tövbe allahım tövbe
bütün günahlarıma
pişmanım
geldim senin affına
pişmanım
geldim senin affına
",ilahi
525,Ya Muhammed,"kadir mevlam gel eyledi
kadir mevlam gel eyledi
geliyorum muhammed
muhammed

bizi kül eyledi
geliyorum muhammed
bizi kül eyledi
geliyorum muhammed

hakkı söyler kelam
hakkı söyler kelam
yıldızlı alem
alem

kucak dolu selam
geliyorum muhammed
kucak dolu selam
geliyorum muhammed

burda koydum dünya malım
burda koydum dünya malım
mevlam bağışlasın kulun
kulun

başım ayak yalın
geliyorum muhammed
başım ayak yalın
geliyorum muhammed

dünyaya geldim boşa
dünyaya geldim boşa
yoruldum
yoruldum

yandı vücut başa
geliyorum muhammed
yandı vücut başa
geliyorum muhammed

doğan ayım yaşanmıştır
doğan ayım yaşanmıştır
i̇ki gözüm kanlı yaştır
i̇ki gözüm kanlı yaştır

canım var elim boştur
geliyorum muhammed
canım var elim boştur
geliyorum muhammed

canım var elim boştur
geliyorum muhammed
geliyorum muhammed
",ilahi
526,Medine’nin Ufukları Sarardı,"medine’nin ufukları sarardı
ortasında gün karardı
ashabın gözleri seni aradı
gidince kaldı medine

güneş gülmez yüzlere
karanlık çöktü bütün gönüllere
medine özlem çeker günlere
gidince öksüz kaldı medine

sıddık yokluğuna dayanamadı
ayrılık ciğerimi dağladı
bilal sustu ezan okuyamadı
gidince kaldı medine

güneş gülmez yüzlere
karanlık çöktü bütün gönüllere
medine özlem çeker günlere
gidince öksüz kaldı medine

ömer’i kıyamda vurdular
osman’a nushaf başında kıydılar
ali’ye zalimce pusu kurdular
gidince kaldı medine

güneş gülmez yüzlere
karanlık çöktü bütün gönüllere
medine özlem çeker günlere
gidince öksüz kaldı medine
",ilahi
527,Yan Semaver Dön Semaver,"semaveri kurdum düze
şeyhim himmet etsin bize
ehli tarik cümlemize
hüner senin semaver

semaver dön semaver
sende hal var semaver
semaver dön semaver
sende hal var semaver

semaverin kulpu
kaynadıkça çeker zikri
i̇çek çayı edek şükrü
hüner senin semaver

semaver dön semaver
sende hal var semaver
semaver dön semaver
sende hal var semaver

semaverin suyu aldan
getir sağdangötür soldan
derviş çıkmaz çay almadan
hüner senin semaver

semaver dön semaver
sende hal var semaver
semaver dön semaver
sende hal var semaver

semaverin suyu inler
anlar mısın neler söyler
hakkı zikreyler
hüner senin semaver

semaver dön semaver
sende hal var semaver
semaver dön semaver
sende hal var semaver

semaverin musluğu var
çoban ıslığı var
dervişlere dostluğu var
hüner senin semaver

semaver dön semaver
sende hal var semaver
semaver dön semaver
sende hal var semaver
",ilahi
528,Kim Bizleri Var Eden,"bizleri var eden
bizlere yön veren
allah allah

bizleri var eden
bizlere yön veren
allah allah

kullarına rahmeden
gönüllere aşk veren
kullarına rahmeden
gönüllere aşk veren
gönüllere aşk veren
allah allah
allah allah

azze celle allah
celle şanuhu allahu
azze celle allah
celle şanuhu allahu
la ilahe illallah
nur muhammed sallallah
la ilahe illallah
nur muhammed sallallah
nur muhammed sallallah

güzeli nakşeden
allah allah
toprağa can veren
allah allah
güzeli nakşeden
allah allah
toprağa can veren
allah allah

ruhlara şifa veren
dertlere derman veren
ruhlara şifa veren
dertlere derman veren
dertlere derman veren
allah allah
allah allah

azze celle allah
celle şanuhu allahu
azze celle allah
celle şanuhu allahu
la ilahe illallah
nur muhammed sallallah
la ilahe illallah
nur muhammed sallallah
nur muhammed sallallah

alemlerin rabbi
allah allah
kalplerin maliki
allah allah
alemlerin rabbi
allah allah
kalplerin maliki
allah allah

sonsuz hikmet sahibi
sensin rabbi
sonsuz hikmet sahibi
sensin rabbi
sensin rabbi
allah allah
allah allah

azze celle allah
celle şanuhu allahu
azze celle allah
celle şanuhu allahu
la ilahe illallah
nur muhammed sallallah
la ilahe illallah
nur muhammed sallallah
nur muhammed sallallah

azze celle allah
celle şanuhu allahu
azze celle allah
celle şanuhu allahu
la ilahe illallah
nur muhammed sallallah
la ilahe illallah
nur muhammed sallallah
nur muhammed sallallah
",ilahi
529,Allah Derler Bir Meclise Uğradım,"meclisi gördüm ettim şükür
ortaya kurmuşlar büyük zikir
sağ oturmuş ol ebubekir
allah derler meclise uğradım
sağ oturmuş ol ebubekir
allah derler meclise uğradım

mecliste gördüm irfan
ortaya kurmuşlar büyük erkân
sol oturmuş ömeri yezdan
allah derler meclise uğradım
sol oturmuş ömeri yezdan
allah derler meclise uğradım

muhammed’in nuru çarpar parlıyor
olanlar seyre dalıyor
can hüseyin orta yerde dönüyor
allah derler meclise uğradım
şah hüseyin orta yerde dönüyor
allah derler meclise uğradım

osmanı zinnureyn kur’an okuyor
gözlerinden kanlı yaşlar akıyor
ol muhammed hallere bakıyor
allah derler meclise uğradım
ol muhammed hallere bakıyor
allah derler meclise uğradım

ol meclise geldi sıdkı yarlar
önünde ali geldi pirler
muhammed bize şefaat derler
allah derler meclise uğradım
muhammed bize şefaat derler
allah derler meclise uğradım
muhammed bize şefaat derler
allah derler meclise uğradım
muhammed bize şefaat derler
allah derler meclise uğradım
",ilahi
530,Birsin Allahım Birsin Teksin Allahım Teksin,"birsin allahım birsin
teksin allahım teksin
cansıza can verensin
birsin allahım birsin
cansıza can verensin
birsin allahım birsin

la ilahe illallah
la ilahe illallah
la ilahe illallah
muhammed rasulallah

la ilahe illallah
la ilahe illallah
la ilahe illallah
muhammed rasulallah

allah allah allah
allah allah allah
allah allah allah
allah allah allah

allah allah allah
allah allah allah
allah allah allah
allah allah allah

alemin rahmanı
rahman olan allahım
affeder bağışlarsın
baki olan allahım
affeder bağışlarsın
baki olan allahım

la ilahe illallah
la ilahe illallah
la ilahe illallah
muhammed rasulallah

allah allah allah
allah allah allah
allah allah allah
allah allah allah

allah allah allah
allah allah allah
allah allah allah
allah allah allah
",ilahi
531,Açıverin Şu Ravzayı Göz Nurumuz Var,"açıverin ravza’yı göz nurumuz var
bizi kurtaracak ahmed’imiz var
açıverin ravza’yı göz nurumuz var
bizi kurtaracak ahmed’imiz var

çıktım dağlara habibim dedim
çıktım dağlara habibim dedim
ol ulu mevla’ya allah arzu hal verdim
ol ulu mevla’ya allah arzu hal verdim
şükür olsun mevla’ya murada erdim
şükür olsun mevla’ya murada erdim

açıverin ravza’yı göz nurumuz var
bizi kurtaracak ahmed’imiz var
açıverin ravza’yı göz nurumuz var
bizi kurtaracak ahmed’imiz var

ravza’ya bakmaya canlar doyar
ravza’ya bakmaya canlar doyar
aşkına düşenler allah yanar
aşkına düşenler allah yanar
ebu bekir ömer osman ali var
ebu bekir ömer osman ali var

açıverin ravza’yı göz nurumuz var
bizi kurtaracak ahmed’imiz var
açıverin ravza’yı göz nurumuz var
bizi kurtaracak ahmed’imiz var

medine etrafı sıralı dağlar
medine etrafı sıralı dağlar
hasreti yüreğimde gözlerim bağlar
hasreti yüreğimde gözlerim bağlar
ravza’nın hasreti bağrım dağlar
ravza’nın hasreti ciğerim dağlar

açıverin ravza’yı göz nurumuz var
bizi kurtaracak ahmed’imiz var
açıverin ravza’yı göz nurumuz var
bizi kurtaracak ahmed’imiz var
",ilahi
532,18 Bin Aleme Server Olan Muhammed,"aleme server olan muhammed
ashaba serdar olan muhammed
yokluğa yoksulluğa kanaat eden muhammed
asi olan ümmete şefaat eden muhammed

rasulu kibriya essalatü vesselam
habibi kibriya essalatü vesselam
rasulu kibriya essalatü vesselam
habibi kibriya essalatü vesselam

seher vakti uyumaz tilavetli muhammed
yetime mürüvvetli muhammed
yoldan çıkmış olana hidayetli muhammed
darda kalan ruhlara kifayetli muhammed

rasulu kibriya essalatü vesselam
habibi kibriya essalatü vesselam
rasulu kibriya essalatü vesselam
habibi kibriya essalatü vesselam

allah’ın sevgilisi ibadetli muhammed
tespihiyle gönülden riyazetli muhammed
şeytana şeytanlara siyasetli muhammed
yüce hakk’ın yolunda hakikatli muhammed

rasulu kibriya essalatü vesselam
habibi kibriya essalatü vesselam
rasulu kibriya essalatü vesselam
habibi kibriya essalatü vesselam

u kürsi pazarı inayetli muhammed
cennet sahibi velayetli muhammed
miskin ahmet kuluna kitabetli muhammed
yetim fakir garibe sehavetli muhammed

rasulu kibriya essalatü vesselam
habibi kibriya essalatü vesselam
rasulu kibriya essalatü vesselam
habibi kibriya essalatü vesselam
",ilahi
533,Bu Aklı Fikir İle Mevla Bulunmaz,"aklı fikriyle
mevla bulunmaz
yaredir
merhem bulunmaz

aklı fikriyle
mevla bulunmaz
yaredir
merhem bulunmaz

allah allah
allah allah allah
allah allah
rahim allah allah
allah

pazarında
canlar satılır
satarım canımı
alan bulunmaz

pazarında
canlar satılır
satarım canımı
alan bulunmaz

allah allah
allah allah allah
allah allah
rahman allah allah
allah

sahibel i̇mdat
yusuf caha düştüm
yakup ağlayıp taşıp
aşkını başımdan aşıp
mest olayım
aşkı mevlam senin

yunus öldü deyü
sela verirler
ölen hayvan imiş
aşıklar ölmez

yunus öldü deyü
sela verirler
ölen hayvan imiş
aşıklar ölmez

allah allah
allah allah allah
allah allah
kerim allah allah
allah
",ilahi
534,Ben Sana Aşık,"yaralı gönlümün hali bilinmez
günden güne artar derdi eksilmez
senden uzaklarda acı dinmez
senden uzaklarda acı dinmez
gönül sana hasret sana aşık
canlar sana hasret sana aşık
kullar sana hasret sana aşık
güller sana hasret sana aşık

sevda çeker çiçekler güller
seni anlatır sevdalı diller
varsa cihanda sevdanı
canlar sana hasret sana aşık
kullar sana hasret sana aşık
güller sana hasret sana aşık

özleminle yanıp mecnuna dönen
cananı terkedip canından geçen
niyaz edip hakka elini veren
niyaz edip hakka elini veren
kullar sana hasret sana aşık
canlar sana hasret sana aşık
güller sana hasret sana aşık
canlar sana hasret sana aşık

sevda çeker çiçekler güller
seni anlatır sevdalı diller
varsa cihanda sevdanı
canlar sana hasret sana aşık
kullar sana hasret sana aşık
güller sana hasret sana aşık

kısmi alemlere rahmet yazılan
hürmetine cihanlar yaratılan
seher vahti gonca gonca açılan
seher vahti gonca gonca açılan
güller sana hasret sana aşık
canlar sana hasret sana aşık
kullar sana hasret sana aşık
canlar sana hasret sana aşık

sevda çeker çiçekler güller
seni anlatır sevdalı diller
varsa cihanda sevdanı
canlar sana hasret sana aşık
kullar sana hasret sana aşık
güller sana hasret sana aşık

sana aşık…
",ilahi
535,Bismillah Çıktık Yola,"bismillah çıktık yola
yüreğim iman dola
niyazımız
haccımız kabul ola

geçtik yolları
büyük kumlu çölleri
yarab kapına getir
günahkar kulları

kıldık makamda namaz
görmeyen anlamaz
zemzem suyundan içtik
yürek kanamaz

yağan nuru hudaya
merve
bilgi yelpazesinet safaya
salatu selam olsun
muhammed mustafa’ya
",ilahi
536,Medine Aşkıyla,"medine aşkıyla gözümden yaşlar
kalbimde tarifsiz büyük acılar
bana cennet kokar bastığı taşlar
gitmek istiyorum medine’ye
bana cennet kokar bastığı taşlar
gitmek istiyorum medine’ye

dünyadan gün göçüp gitmeden
serapta kalmışım yanıyor beden
kabul etsin allah gidem
gitmek istiyorum medine’ye
kabul etsin allah gidem
gitmek istiyorum medine’ye

gönlümün sultanı canımın canı
orda geçti bütün yılları
görmek istiyorum bastığı toprağı
gitmek istiyorum medine’ye
görmek istiyorum bastığı toprağı
gitmek istiyorum medine’ye

dünyadan gün göçüp gitmeden
serapta kalmışım yanıyor beden
kabul etsin allah gidem
gitmek istiyorum medine’ye
kabul etsin allah gidem
gitmek istiyorum medine’ye

sene gidiyor bütün hacılar
onların gidişi beni kamçılar
gönül gitmezse olur tarumar
gitmek istiyorum medine’ye
gönül gitmezse olur tarumar
gitmek istiyorum medine’ye

dünyadan gün göçüp gitmeden
serapta kalmışım yanıyor beden
kabul etsin allah gidem
gitmek istiyorum medine’ye
kabul etsin allah gidem
gitmek istiyorum medine’ye

sonsuzluk ışığı sevgili orda
gözümün gönlümün güneşi orda
gitmezsem gönlüm darda
gitmek istiyorum medine’ye
gitmezsem gönlüm darda
gitmek istiyorum medine’ye

dünyadan gün göçüp gitmeden
serapta kalmışım yanıyor beden
kabul etsin allah gidem
gitmek istiyorum medine’ye
kabul etsin allah gidem
gitmek istiyorum medine’ye

dünyadan gün göçüp gitmeden
serapta kalmışım yanıyor beden
kabul etsin allah gidem
gitmek istiyorum medine’ye
kabul etsin allah gidem
gitmek istiyorum medine’ye
",ilahi
537,Seydam Seni Çok Özledim,"sevdim seni dillerdeyim
uzak gurbet illerdeyim
sevdim seni dillerdeyim
uzak gurbet illerdeyim

veysel çöllerdeyim
seydam seni özledim
veysel çöllerdeyim
seydam seni özledim

dilimdesin hece hece
gönül sır bilmece
düşümde gördüm
seydam seni özledim

uzaklarda derdim çoktur
hasretin kalbime oktur
uzaklarda derdim çoktur
hasretin kalbime oktur

çare bulamıyor doktor
seydam seni özledim
çare bulamıyor doktor
seydam seni özledim

dilimdesin hece hece
gönül sır bilmece
düşümde gördüm
seydam seni özledim

kalbimde savrulur harman
gönül dinlemiyor ferman
kalbimde savrulur harman
gönül dinlemiyor ferman

bakışların derde derman
seydam seni özledim
bakışların derde derman
seydam seni özledim

dilimdesin hece hece
gönül sır bilmece
düşümde gördüm
seydam seni özledim

entarin topuğun döver
melekler seni över
entarin topuğun döver
melekler seni över

cemalin görenler sever
seydam seni özledim
cemalin görenler sever
seydam seni özledim

dilimdesin hece hece
gönül sır bilmece
düşümde gördüm
seydam seni özledim
seydam seni özledim
",ilahi
538,Erenlerin Halveti,"gönülleri doldurur erenlerin halveti
ölüleri diriltir erenlerin halveti

yaka yaka kül eder dikeni gül eder
hakk’dan yol eder erenlerin halveti

sıdk giren kişi âh u zâr olur işi
gözden akıtır yaşı erenlerin halveti

tuygurur ol illeri tiz geçirürbilleri
eder yolları erenlerin halveti

i̇çine od salar nefsin sıfâtın yakar
canın gözünü açar erenlerin halveti

seni sana bildirir ağlar güldürür
i̇rfan doldurur erenlerin halveti

niyâzî var yürü sanma anı zâhiri
i̇çrüden erenlerin halveti

gönülleri doldurur erenlerin halveti
ölüleri diriltir erenlerin halveti
",ilahi
539,Olunmuyor Muhammedsiz,"açan çiçeklere meyve
verilmiyor muhammedsiz
açan çiçeklere meyve
verilmiyor muhammedsiz
haktan gelen derde derman
olunmuyor muhammedsiz
haktan gelen derde derman
olunmuyor muhammedsiz

meşgul ol kuran
seherlerde virad
meşgul ol kuran
seherlerde virad
nefeste iman
ölünmüyor muhammedsiz
nefeste iman
ölünmüyor muhammedsiz

uzak cennetin yolları
girer mutlaki kulları
cennette tuba dalları
salınmıyor muhammedsiz
cennette tuba dalları
salınmıyor muhammedsiz

ikramdır cemalullah
ağlayanlar görür vallah
diyor allah
görülmüyor muhammedsiz
diyor allah
görülmüyor muhammedsiz
diyor allah
görülmüyor muhammedsiz
diyor allah
görülmüyor muhammedsiz
",ilahi
540,Demedim Mi Ölüm Vardır,"bak sıra geldi sana
nasibin bitti
can vermek acı olsa
azrail alır canını
can vermek acı olsa
azrail alır canını

demedim vardır
akibet yerin mezardır
mekanın gül bahçesi
cehennemi narıdır
mekanın gül bahçesi
cehennemi narıdır

anlın vurmadı secdeye
namaz kılmadı
mısın can vermeye
azrail alır canını
mısın can vermeye
azrail alır canını

demedim vardır
akibet yerin mezardır
mekanın gül bahçesi
cehennemi narıdır
mekanın gül bahçesi
cehennemi narıdır

allah baki dünya yalan
var mıdır ebedi kalan
malın mülkün talan
azrail alır canını
malın mülkün talan
azrail alır canını

demedim vardır
akibet yerin mezardır
mekanın gül bahçesi
cehennemi narıdır
mekanın gül bahçesi
cehennemi narıdır
",ilahi
541,Allah Allah Dedikçe,"gelin allah diyelim
kalpten pası silelim
alemler seyredelim
allah allah dedikçe

nerde tevhid çekilir
melekler saf saf gelir
tekbir getirir
allah allah dedikçe

zikri hakka başlandı
i̇smi celal hızlandı
arşı a’la sallandı
allah allah dedikçe

gönüller şadan olur
kaygudan azad olur
can mülkü abad olur
allah allah dedikçe

gafil olma naci
hakkı zikret
seni zikreder hüda
allah allah dedikçe
",ilahi
542,Seherde Açan Güller,"seherde ötüşen kuşlar
bilmem diyor diyor
seherde ötüşen kuşlar
bilmem diyor diyor

gözlerinden akan yaşlar
bilmem diyor diyor
gözlerinden akan yaşlar
bilmem diyor diyor

seherde açan güller
gül öten bülbüller
seherde açan güller
gül öten bülbüller

hak ismini anan diller
bilmem diyor diyor
hak ismini anan diller
bilmem diyor diyor

seherde açan yaprak
giyer çıplak
seherde açan yaprak
giyer çıplak

i̇hraç eder kara toprak
bilmem diyor diyor
i̇hraç eder kara toprak
bilmem diyor diyor

seherde açan güller
gül öten bülbüller
seherde açan güller
gül öten bülbüller

hak ismini anan diller
bilmem diyor diyor
hak ismini anan diller
bilmem diyor diyor

münadi nida eder
taksim olur gamu keder
münadi nida eder
taksim olur gamu keder

korku gider
bilmem diyor diyor
korku gider
bilmem diyor diyor

seherde açan güller
gül öten bülbüller
seherde açan güller
gül öten bülbüller

hak ismini anan diller
bilmem diyor diyor
hak ismini anan diller
bilmem diyor diyor

devrani der yoktur asam
dizim tutmaz ona basam
devrani der yoktur asam
dizim tutmaz ona basam

konuşulur türlü lisan
bilmem diyor diyor
konuşulur türlü lisan
bilmem diyor diyor

seherde açan güller
gül öten bülbüller
seherde açan güller
gül öten bülbüller

hak ismini anan diller
bilmem diyor diyor
hak ismini anan diller
bilmem diyor diyor

seherde açan güller
gül öten bülbüller
seherde açan güller
gül öten bülbüller

hak ismini anan diller
bilmem diyor diyor
hak ismini anan diller
bilmem diyor diyor
",ilahi
543,Ehlen Ve Sehlen Merhaba,"enbiyalar serveri
evliyalar rehberi
insucan peygamberi
ehlen sehlen

canların cananısın
dertlilerin dermanısın
alemlerin sultanısın
ehlen sehlen

allahü ekber şanühü
sultanehü sübhanehu
kad caena burhanehu
ehlen sehlen

sensin mahbubi hüda
etme şefaatten cuda
ahmet muhammed mustafa
ehlen sehlen

derviş yunus söyler sözü
dergahına sürer yüzü
severler mahşerde bizi
ehlen sehlen
",ilahi
544,Yarabbi Aşkını Ver Bana Efendim,"yarabbi aşkını ver bana
yarabbi aşkını ver bana
diyeyim allah allah döne döne



diyeyim allah allah döne döne

çağ duşdüm yusuf
çağ duşdüm yusuf
derde düşdüm allah allah eyyüp
ağlayayım yakup
ağlayayım yakup
diyeyim allah allah döne döne

mevlam koma beni bana
mevlam koma beni bana
al gönlümü allah allah senden
müştakın oluben sana
müştakın oluben sana
diyeyim allah allah döne döne

seyret mizan okunur
seyret mizan okunur
i̇ster güldür allah allah öldür

aşkınla gönlümü doldur
aşkınla gönlümü doldur
diyeyim allah allah döne döne
",ilahi
545,Allahu Allah (1. Söyleyiş Şekli),"allahu allah allahu allah
allahu allah rahim allah
allahu allah allahu allah
allahu allah kerim allah

ömrün bitirmiş viranemiyem
aklın yitirmiş divanemiyem
ömrün bitirmiş viranemiyem
aklın yitirmiş divanemiyem

kanat vururum döner dururum
yanar kururum mestanemiyem
kanat vururum döner dururum
yanar kururum mestanemiyem

allahu allah allahu allah
allahu allah rahim allah
allahu allah allahu allah
allahu allah kerim allah

nefsimi bildim ölmeden öldüm
kapına geldim sultanım allah
nefsimi bildim ölmeden öldüm
kapına geldim sultanım allah

yaşlı gözlerim tutmaz dizlerim
yolun gözlerim biçaremiyem
yaşlı gözlerim tutmaz dizlerim
yolun gözlerim biçaremiyem

allahu allah allahu allah
allahu allah rahim allah
allahu allah allahu allah
allahu allah kerim allah

aşka can feda olsa fayda
aşk oku yayda kemanemiyem
aşka can feda olsa fayda
aşk oku yayda kemanemiyem

kalpler uyana aşkınla
can sana sultanım allah
kalpler uyana aşkınla
can sana sultanım allah

allahu allah allahu allah
allahu allah rahim allah
allahu allah allahu allah
allahu allah kerim allah


allahu allah 2 söyleyi̇ş şekli̇ i̇lahi̇si̇ni̇n sözleri̇ i̇lahi̇ler i̇lahi̇ sözleri̇

allahu allah
allahu allahu
allahu allah
allahu allah

ömrün bitirmiş
viranemiyem
aklın yitirmiş
divanemiyem

allahu allah
allahu allahu
allahu allah
allahu allah

nedir halim
artar melalim
söyle zalim
biganemiyem

allahu allah
allahu allahu
allahu allah
allahu allah

kanat vururum
döner dururum
yanar kururum
pervanemiyem

allahu allah
allahu allahu
allahu allah
allahu allah

şaşırdım kaldım
renk aldım
doldum boşaldım
peymanemiyem

allahu allah
allahu allahu
allahu allah
allahu allah

yaşlı gözlerim
tutmaz dizlerim
yolun gözlerim
mestanemiyem

allahu allah
allahu allahu
allahu allah
allahu allah

halim söylenir
gör neler denir
eğlenir
teranemiyem

allahu allah
allahu allahu
allahu allah
allahu allah

meczup sanırlar
mecnun tanırlar
aldanırlar
üryanemiyem

allahu allah
allahu allahu
allahu allah
allahu allah
aşki can feda
olsa fayda
aşk oku yayda
kemanemiyem

allahu allah
allahu allahu
allahu allah
allahu allah
",ilahi
546,Lebbeyk,"mekke şehri geldim sana
babüsselamı açsana
benim sevdam haktan
gelmişim demeye

beytullahım beytullahım
arz ettim sana günahım
cihanın kıblesisin
seni gördüm bitti ahım

beytullahım beytullahım
arz ettim sana günahım
cihanın kıblesisin
seni gördüm bitti ahım

büründüm beyaz ihrama
dedim harama
bak gönlümdeki yarama
gelmişim demeye

beytullahım beytullahım
arz ettim sana günahım
cihanın kıblesisin
seni gördüm bitti ahım

beytullahım beytullahım
arz ettim sana günahım
cihanın kıblesisin
seni gördüm bitti ahım

gördüm örtünü
müminler sarmış önünü
hakka vermişsin yönünü
gelmişim demeye

beytullahım beytullahım
arz ettim sana günahım
cihanın kıblesisin
seni gördüm bitti ahım

beytullahım beytullahım
arz ettim sana günahım
cihanın kıblesisin
seni gördüm bitti ahım

beytullahım beytullahım
arz ettim sana günahım
cihanın kıblesisin
seni gördüm bitti ahım
",ilahi
547,Ey Aşıkı Dildare,"can allah canan allah
la ilahe illallah
muhammedur resulullah

can allah canan allah
canlar sana allah
kalbim zikrullah
la ilahe illallah
muhammedur resulullah

aşıkı dildare
gel nuş edelim bade
bade
içile me vade
bade
içile me vade

can allah canan allah
canlar sana allah
kalbim zikrullah
la ilahe illallah
muhammedur resulullah

kez içen aşıktır
aşkında ol sadıktır
aşk ona layıktır
mecnun ferhada
aşk ona layıktır
mecnun ferhada

can allah canan allah
canlar sana allah
kalbim zikrullah
la ilahe illallah
muhammedur resulullah

i̇şit sezaiden
gördü fenaiden
dost yüzünü gösterdi
miratı mücelladan
dost yüzünü gösterdi
miratı mücelladan

can allah canan allah
canlar sana allah
kalbim zikrullah
la ilahe illallah
muhammedur resulullah

can allah canan allah
canlar sana allah
kalbim zikrullah
la ilahe illallah
muhammedur resulullah
",ilahi
548,Yunus Sen Burada Meydan İsteme,"yüreğim
gör neler var
halk
bize gülen var

koy gülen gülsün
hak bizi bilsin
gafiller bilsin
hakkı seven var

yol uzundur
menzili çoktur
geçidi yoktur
derin sular var


gelsin meydane
kıyamaz cane
kimde hüner var

yunus burda
meydan isteme
meydanlar canım
merdaneler var
",ilahi
549,Kervanın Gam Çeker Bin Tığlık Atar,"kervanın gam çeker tığlık atar
ehli hak yolunda raha geldim
kervanından gam çeker tığlık atar
ehli hak yolunda raha geldim

derde derman mürşidim yeter
nefsi hayr ıslaha geldim ıslaha geldim
derde derman mürşidim yeter
nefsi hayr ıslaha geldim ıslaha geldim

gönlüm daraldı eyledir yardım
sefilem sel aldı deryana daldır
kebahir günahta kemale erdim
emmare yolunda ikraha geldim ikraha geldim
kebahir günahta kemale erdim
emmare yolunda ikraha geldim ikraha geldim

bülbül kuş gülü terk etmez
allah kapısından kulu merk etmez
bülbül kuş gülü terk etmez
allah kapısından kulu merk etmez
zerre günahıma kudretim yetmez
affu berat şaha geldim şaha geldim
zerre günahıma kudretim yetmez
affu berat şaha geldim şaha geldim

gönlüm daraldı eyledir yardım
sefilem sel aldı deryana daldır
kebahir günahta kemale erdim
emmare yolunda ikraha geldim ikraha geldim
kebahir günahta kemale erdim
emmare yolunda ikraha geldim ikraha geldim

masiva defterim sensiz silinmez
emirsiz abdine ihsan olunmaz
masiva defterim sensiz silinmez
emirsiz abdine ihsan olunmaz
kapından kapı bulunmaz
yere vurmaya dergaha geldim dergaha geldim
kapından kapı bulunmaz
yere vurmaya dergaha geldim dergaha geldim

gönlüm daraldı eyledir yardım
sefilem sel aldı deryana daldır
kebahir günahta kemale erdim
emmare yolunda ikraha geldim ikraha geldim
kebahir günahta kemale erdim
emmare yolunda ikraha geldim ikraha geldim

yokluktan var oldum varım sensin
ağlarım dert efkarım sensin
yokluktan var oldum varım sensin
ağlarım dert efkarım sensin
ezeli ervahta ikrarım sensin
ikrarı imana geldim geldim
ezeli ervahta ikrarım sensin
ikrarı imana geldim geldim

gönlüm daraldı eyledir yardım
sefilem sel aldı deryana daldır
kebahir günahta kemale erdim
emmare yolunda ikraha geldim ikraha geldim
kebahir günahta kemale erdim
emmare yolunda ikraha geldim ikraha geldim
",ilahi
550,Hak Yarattı Alemi Aşkına Muhammed’in,"hak yarattı alemi
aşkına muhammed’in
ü günü yarattı
şevkine muhammed’in

ol dedi alem
yazıldı levh ü kalem
okundu hatmı kelam
şanına muhammed’in

yunus kime ede methi
över kur’an ayeti
au vergil salatı
aşkına muhammed’in
",ilahi
