id,baslik,sarki_sozu,sarki_turu,eski_turkce_kelime_orani,fiil_orani,sifat_orani,zarf_orani,baglac_orani,unlem_orani,soru_orani,bilinmeyen_orani
528,Kim Bizleri Var Eden,"kim bizleri var eden
kim bizlere yön veren
allah allah

kim bizleri var eden
kim bizlere yön veren
allah allah

kullarına rahmeden
gönüllere aşk veren
kullarına rahmeden
gönüllere aşk veren
gönüllere aşk veren
allah allah
allah allah

azze ve celle allah
celle şanuhu allahu
azze ve celle allah
celle şanuhu allahu
la ilahe illallah
nur muhammed sallallah
la ilahe illallah
nur muhammed sallallah
nur muhammed sallallah

kim güzeli nakşeden
allah allah
kim toprağa can veren
allah allah
kim güzeli nakşeden
allah allah
kim toprağa can veren
allah allah

ruhlara şifa veren
dertlere derman veren
ruhlara şifa veren
dertlere derman veren
dertlere derman veren
allah allah
allah allah

azze ve celle allah
celle şanuhu allahu
azze ve celle allah
celle şanuhu allahu
la ilahe illallah
nur muhammed sallallah
la ilahe illallah
nur muhammed sallallah
nur muhammed sallallah

kim alemlerin rabbi
allah allah
kim kalplerin maliki
allah allah
kim alemlerin rabbi
allah allah
kim kalplerin maliki
allah allah

sonsuz hikmet sahibi
sensin elbet ya rabbi
sonsuz hikmet sahibi
sensin elbet ya rabbi
sensin elbet ya rabbi
allah allah
allah allah

azze ve celle allah
celle şanuhu allahu
azze ve celle allah
celle şanuhu allahu
la ilahe illallah
nur muhammed sallallah
la ilahe illallah
nur muhammed sallallah
nur muhammed sallallah

azze ve celle allah
celle şanuhu allahu
azze ve celle allah
celle şanuhu allahu
la ilahe illallah
nur muhammed sallallah
la ilahe illallah
nur muhammed sallallah
nur muhammed sallallah
",ilahi,0.12,0.01,0.08,0.01,0.05,0.03,0.0,0.13
529,Allah Derler Bir Meclise Uğradım,"o meclisi gördüm ettim çok şükür
ortaya kurmuşlar bir büyük zikir
sağ yana oturmuş ol ebubekir
allah derler bir meclise uğradım
sağ yana oturmuş ol ebubekir
allah derler bir meclise uğradım

o mecliste gördüm tatlı bir irfan
ortaya kurmuşlar bir büyük erkân
sol yana oturmuş ömeri yezdan
allah derler bir meclise uğradım
sol yana oturmuş ömeri yezdan
allah derler bir meclise uğradım

muhammed’in nuru çarpar parlıyor
orada olanlar seyre dalıyor
can hüseyin orta yerde dönüyor
allah derler bir meclise uğradım
şah hüseyin orta yerde dönüyor
allah derler bir meclise uğradım

osmanı zinnureyn kur’an okuyor
gözlerinden kanlı yaşlar akıyor
ol muhammed bu hallere bakıyor
allah derler bir meclise uğradım
ol muhammed bu hallere bakıyor
allah derler bir meclise uğradım

ol meclise geldi hep sıdkı yarlar
önünde ali hep geldi pirler
ya muhammed bize şefaat derler
allah derler bir meclise uğradım
ya muhammed bize şefaat derler
allah derler bir meclise uğradım
ya muhammed bize şefaat derler
allah derler bir meclise uğradım
ya muhammed bize şefaat derler
allah derler bir meclise uğradım
",ilahi,0.13,0.34,0.03,0.01,0.02,0.0,0.0,0.0
530,Birsin Allahım Birsin Teksin Allahım Teksin,"birsin allahım birsin
teksin allahım teksin
cansıza can verensin
birsin allahım birsin
cansıza can verensin
birsin allahım birsin

la ilahe illallah
la ilahe illallah
la ilahe illallah
muhammed rasulallah

la ilahe illallah
la ilahe illallah
la ilahe illallah
muhammed rasulallah

allah allah allah
allah allah allah
allah allah allah
allah allah allah

allah allah allah
allah allah allah
allah allah allah
allah allah allah

tüm alemin rahmanı
rahman olan allahım
affeder bağışlarsın
baki olan allahım
affeder bağışlarsın
baki olan allahım

la ilahe illallah
la ilahe illallah
la ilahe illallah
muhammed rasulallah

allah allah allah
allah allah allah
allah allah allah
allah allah allah

allah allah allah
allah allah allah
allah allah allah
allah allah allah
",ilahi,0.08,0.05,0.05,0.0,0.0,0.08,0.0,0.03
531,Açıverin Şu Ravzayı Göz Nurumuz Var,"açıverin şu ravza’yı göz nurumuz var
yarın bizi kurtaracak ahmed’imiz var
açıverin şu ravza’yı göz nurumuz var
yarın bizi kurtaracak ahmed’imiz var

çıktım şu dağlara habibim dedim
çıktım şu dağlara habibim dedim
ol ulu mevla’ya allah arzu hal verdim
ol ulu mevla’ya allah arzu hal verdim
şükür olsun mevla’ya murada erdim
şükür olsun mevla’ya murada erdim

açıverin şu ravza’yı göz nurumuz var
yarın bizi kurtaracak ahmed’imiz var
açıverin şu ravza’yı göz nurumuz var
yarın bizi kurtaracak ahmed’imiz var

ravza’ya bakmaya canlar mı doyar
ravza’ya bakmaya canlar mı doyar
aşkına düşenler allah böyle mi yanar
aşkına düşenler allah böyle mi yanar
ebu bekir ömer osman ali var
ebu bekir ömer osman ali var

açıverin şu ravza’yı göz nurumuz var
yarın bizi kurtaracak ahmed’imiz var
açıverin şu ravza’yı göz nurumuz var
yarın bizi kurtaracak ahmed’imiz var

medine etrafı sıralı dağlar
medine etrafı sıralı dağlar
hasreti yüreğimde gözlerim bağlar
hasreti yüreğimde gözlerim bağlar
ravza’nın hasreti bağrım dağlar
ravza’nın hasreti ciğerim dağlar

açıverin şu ravza’yı göz nurumuz var
yarın bizi kurtaracak ahmed’imiz var
açıverin şu ravza’yı göz nurumuz var
yarın bizi kurtaracak ahmed’imiz var
",ilahi,0.14,0.18,0.13,0.0,0.0,0.0,0.02,0.01
532,18 Bin Aleme Server Olan Muhammed,"on sekiz bin aleme server olan muhammed
otuz üç bin ashaba serdar olan muhammed
yokluğa yoksulluğa kanaat eden muhammed
asi olan ümmete şefaat eden muhammed

ya rasulu kibriya essalatü vesselam
ya habibi kibriya essalatü vesselam
ya rasulu kibriya essalatü vesselam
ya habibi kibriya essalatü vesselam

seher vakti uyumaz tilavetli muhammed
garip ile yetime mürüvvetli muhammed
yoldan çıkmış olana hidayetli muhammed
darda kalan ruhlara kifayetli muhammed

ya rasulu kibriya essalatü vesselam
ya habibi kibriya essalatü vesselam
ya rasulu kibriya essalatü vesselam
ya habibi kibriya essalatü vesselam

allah’ın sevgilisi ibadetli muhammed
tespihiyle gönülden riyazetli muhammed
şeytana şeytanlara siyasetli muhammed
yüce hakk’ın yolunda hakikatli muhammed

ya rasulu kibriya essalatü vesselam
ya habibi kibriya essalatü vesselam
ya rasulu kibriya essalatü vesselam
ya habibi kibriya essalatü vesselam

arş u kürsi pazarı inayetli muhammed
sekiz cennet sahibi velayetli muhammed
miskin ahmet kuluna kitabetli muhammed
yetim fakir garibe sehavetli muhammed

ya rasulu kibriya essalatü vesselam
ya habibi kibriya essalatü vesselam
ya rasulu kibriya essalatü vesselam
ya habibi kibriya essalatü vesselam
",ilahi,0.1,0.01,0.13,0.1,0.1,0.01,0.0,0.2
533,Bu Aklı Fikir İle Mevla Bulunmaz,"bu aklı fikriyle
mevla bulunmaz
bu ne yaredir ki
merhem bulunmaz

bu aklı fikriyle
mevla bulunmaz
bu ne yaredir ki
merhem bulunmaz

ya allah ya allah
allah allah allah
ya allah hu allah
rahim allah allah
yaaa allah

aşkın pazarında
canlar satılır
satarım canımı
alan bulunmaz

aşkın pazarında
canlar satılır
satarım canımı
alan bulunmaz

ya allah ya allah
allah allah allah
ya allah hu allah
rahman allah allah
yaaa allah

medet ya sahibel i̇mdat
yusuf gibi caha düştüm
yakup gibi ağlayıp taşıp
aşkını başımdan aşıp
mest olayım
aşkı mevlam senin

yunus öldü deyü
sela verirler
ölen hayvan imiş
aşıklar ölmez

yunus öldü deyü
sela verirler
ölen hayvan imiş
aşıklar ölmez

ya allah ya allah
allah allah allah
ya allah hu allah
kerim allah allah
yaaa allah
",ilahi,0.13,0.17,0.03,0.02,0.1,0.0,0.0,0.04
534,Ben Sana Aşık,"yaralı gönlümün hali bilinmez
günden güne artar derdi eksilmez
senden uzaklarda bu acı dinmez
senden uzaklarda bu acı dinmez
gönül sana hasret ben sana aşık
canlar sana hasret ben sana aşık
kullar sana hasret ben sana aşık
güller sana hasret ben sana aşık

sevda çeker cümle çiçekler güller
hep seni anlatır sevdalı diller
ne varsa cihanda sevdanı ister
canlar sana hasret ben sana aşık
kullar sana hasret ben sana aşık
güller sana hasret ben sana aşık

özleminle yanıp mecnuna dönen
cananı terkedip canından geçen
niyaz edip hakka elini veren
niyaz edip hakka elini veren
kullar sana hasret ben sana aşık
canlar sana hasret ben sana aşık
güller sana hasret ben sana aşık
canlar sana hasret ben sana aşık

sevda çeker cümle çiçekler güller
hep seni anlatır sevdalı diller
ne varsa cihanda sevdanı ister
canlar sana hasret ben sana aşık
kullar sana hasret ben sana aşık
güller sana hasret ben sana aşık

kısmi alemlere rahmet yazılan
hürmetine cihanlar yaratılan
seher vahti gonca gonca açılan
seher vahti gonca gonca açılan
güller sana hasret ben sana aşık
canlar sana hasret ben sana aşık
kullar sana hasret ben sana aşık
canlar sana hasret ben sana aşık

sevda çeker cümle çiçekler güller
hep seni anlatır sevdalı diller
ne varsa cihanda sevdanı ister
canlar sana hasret ben sana aşık
kullar sana hasret ben sana aşık
güller sana hasret ben sana aşık

ben sana aşık…
",ilahi,0.15,0.06,0.06,0.04,0.01,0.0,0.0,0.01
535,Bismillah Çıktık Yola,"bismillah çıktık yola
yüreğim iman dola
allahtan niyazımız
haccımız kabul ola

geçtik uzun yolları
büyük kumlu çölleri
yarab kapına getir
şu günahkar kulları

kıldık makamda namaz
görmeyen hiç anlamaz
zemzem suyundan içtik
daha yürek kanamaz

yağan nuru hudaya
merve ile
bilgi yelpazesinet  safaya
salatu selam olsun
muhammed mustafa’ya
",ilahi,0.11,0.21,0.1,0.04,0.02,0.02,0.0,0.06
536,Medine Aşkıyla,"medine aşkıyla gözümden yaşlar
kalbimde tarifsiz büyük acılar
bana cennet kokar bastığı taşlar
gitmek istiyorum ben medine’ye
bana cennet kokar bastığı taşlar
gitmek istiyorum ben medine’ye

şu dünyadan bir gün göçüp gitmeden
serapta kalmışım yanıyor beden
kabul etsin allah gidem tez elden
gitmek istiyorum ben medine’ye
kabul etsin allah gidem tez elden
gitmek istiyorum ben medine’ye

gönlümün sultanı canımın canı
hep orda geçti bütün yılları
görmek istiyorum bastığı toprağı
gitmek istiyorum ben medine’ye
görmek istiyorum bastığı toprağı
gitmek istiyorum ben medine’ye

şu dünyadan bir gün göçüp gitmeden
serapta kalmışım yanıyor beden
kabul etsin allah gidem tez elden
gitmek istiyorum ben medine’ye
kabul etsin allah gidem tez elden
gitmek istiyorum ben medine’ye

her sene gidiyor bütün hacılar
onların gidişi beni kamçılar
bu gönül gitmezse olur tarumar
gitmek istiyorum ben medine’ye
bu gönül gitmezse olur tarumar
gitmek istiyorum ben medine’ye

şu dünyadan bir gün göçüp gitmeden
serapta kalmışım yanıyor beden
kabul etsin allah gidem tez elden
gitmek istiyorum ben medine’ye
kabul etsin allah gidem tez elden
gitmek istiyorum ben medine’ye

sonsuzluk ışığı sevgili orda
gözümün gönlümün güneşi orda
gitmezsem oraya gönlüm hep darda
gitmek istiyorum ben medine’ye
gitmezsem oraya gönlüm hep darda
gitmek istiyorum ben medine’ye

şu dünyadan bir gün göçüp gitmeden
serapta kalmışım yanıyor beden
kabul etsin allah gidem tez elden
gitmek istiyorum ben medine’ye
kabul etsin allah gidem tez elden
gitmek istiyorum ben medine’ye

şu dünyadan bir gün göçüp gitmeden
serapta kalmışım yanıyor beden
kabul etsin allah gidem tez elden
gitmek istiyorum ben medine’ye
kabul etsin allah gidem tez elden
gitmek istiyorum ben medine’ye
",ilahi,0.11,0.2,0.07,0.03,0.0,0.0,0.0,0.0
537,Seydam Seni Çok Özledim,"sevdim seni dillerdeyim
uzak gurbet illerdeyim
sevdim seni dillerdeyim
uzak gurbet illerdeyim

veysel gibi çöllerdeyim
seydam seni çok özledim
veysel gibi çöllerdeyim
seydam seni çok özledim

dilimdesin hece hece
gönül sır bir bilmece
düşümde gördüm dün gece
seydam seni çok özledim

uzaklarda derdim çoktur
hasretin kalbime oktur
uzaklarda derdim çoktur
hasretin kalbime oktur

çare bulamıyor doktor
seydam seni çok özledim
çare bulamıyor doktor
seydam seni çok özledim

dilimdesin hece hece
gönül sır bir bilmece
düşümde gördüm dün gece
seydam seni çok özledim

kalbimde savrulur harman
gönül dinlemiyor ferman
kalbimde savrulur harman
gönül dinlemiyor ferman

bakışların derde derman
seydam seni çok özledim
bakışların derde derman
seydam seni çok özledim

dilimdesin hece hece
gönül sır bir bilmece
düşümde gördüm dün gece
seydam seni çok özledim

entarin topuğun döver
melekler hep seni över
entarin topuğun döver
melekler hep seni över

cemalin görenler sever
seydam seni çok özledim
cemalin görenler sever
seydam seni çok özledim

dilimdesin hece hece
gönül sır bir bilmece
düşümde gördüm dün gece
seydam seni çok özledim
seydam seni çok özledim
",ilahi,0.1,0.26,0.02,0.09,0.0,0.0,0.0,0.0
538,Erenlerin Halveti,"gönülleri doldurur erenlerin halveti
ölüleri diriltir erenlerin halveti

yaka yaka kül eder her dikeni gül eder
hakk’dan yana yol eder erenlerin halveti

sıdk ile giren kişi âh u zâr olur işi
gözden akıtır yaşı erenlerin halveti

tuygurur ol illeri tiz geçirürbilleri
yakın eder yolları erenlerin halveti

i̇çine bir od salar nefsin sıfâtın yakar
canın gözünü açar erenlerin halveti

seni sana bildirir ağlar iken güldürür
i̇rfan ile doldurur erenlerin halveti

niyâzî sen var yürü sanma anı zâhiri
i̇çrüden içeri erenlerin halveti

gönülleri doldurur erenlerin halveti
ölüleri diriltir erenlerin halveti
",ilahi,0.16,0.19,0.08,0.01,0.02,0.0,0.0,0.07
539,Olunmuyor Muhammedsiz,"açan çiçeklere meyve
verilmiyor muhammedsiz
açan çiçeklere meyve
verilmiyor muhammedsiz
haktan gelen derde derman
olunmuyor muhammedsiz
haktan gelen derde derman
olunmuyor muhammedsiz

çok meşgul ol kuran ile
seherlerde virad ile
çok meşgul ol kuran ile
seherlerde virad ile
son nefeste iman ile
ölünmüyor muhammedsiz
son nefeste iman ile
ölünmüyor muhammedsiz

uzak cennetin yolları
girer mutlaki kulları
cennette tuba dalları
salınmıyor muhammedsiz
cennette tuba dalları
salınmıyor muhammedsiz

son ikramdır cemalullah
ağlayanlar görür vallah
çünkü böyle diyor allah
görülmüyor muhammedsiz
çünkü böyle diyor allah
görülmüyor muhammedsiz
çünkü böyle diyor allah
görülmüyor muhammedsiz
çünkü böyle diyor allah
görülmüyor muhammedsiz
",ilahi,0.06,0.22,0.26,0.02,0.1,0.0,0.0,0.04
540,Demedim Mi Ölüm Vardır,"bak sıra geldi sana da
nasibin bitti dünyada
can vermek acı olsa da
azrail alır canını
can vermek acı olsa da
azrail alır canını

demedim mi ölüm vardır
akibet yerin mezardır
mekanın ya gül bahçesi
ya da cehennemi narıdır
mekanın ya gül bahçesi
ya da cehennemi narıdır

anlın vurmadı secdeye
namaz kılmadı ne diye
hazır mısın can vermeye
azrail alır canını
hazır mısın can vermeye
azrail alır canını

demedim mi ölüm vardır
akibet yerin mezardır
mekanın ya gül bahçesi
ya da cehennemi narıdır
mekanın ya gül bahçesi
ya da cehennemi narıdır

allah baki dünya yalan
var mıdır ebedi kalan
malın mülkün hepsi talan
azrail alır canını
malın mülkün hepsi talan
azrail alır canını

demedim mi ölüm vardır
akibet yerin mezardır
mekanın ya gül bahçesi
ya da cehennemi narıdır
mekanın ya gül bahçesi
ya da cehennemi narıdır
",ilahi,0.11,0.2,0.04,0.0,0.15,0.0,0.04,0.0
541,Allah Allah Dedikçe,"gelin allah diyelim
kalpten pası silelim
alemler seyredelim
allah allah dedikçe

nerde tevhid çekilir
melekler saf saf gelir
hepsi tekbir getirir
allah allah dedikçe

zikri hakka başlandı
i̇smi celal hızlandı
arşı a’la sallandı
allah allah dedikçe

gönüller şadan olur
kaygudan azad olur
can mülkü abad olur
allah allah dedikçe

gafil olma naci ya
hakkı zikret daima
seni zikreder hüda
allah allah dedikçe
",ilahi,0.1,0.17,0.03,0.09,0.02,0.02,0.0,0.03
542,Seherde Açan Güller,"seherde ötüşen kuşlar
bilmem ne diyor ne diyor
seherde ötüşen kuşlar
bilmem ne diyor ne diyor

gözlerinden akan yaşlar
bilmem ne diyor ne diyor
gözlerinden akan yaşlar
bilmem ne diyor ne diyor

seherde açan güller
gül için öten bülbüller
seherde açan güller
gül için öten bülbüller

hak ismini anan diller
bilmem ne diyor ne diyor
hak ismini anan diller
bilmem ne diyor ne diyor

seherde açan yaprak
kimi giyer kimi çıplak
seherde açan yaprak
kimi giyer kimi çıplak

i̇hraç eder kara toprak
bilmem ne diyor ne diyor
i̇hraç eder kara toprak
bilmem ne diyor ne diyor

seherde açan güller
gül için öten bülbüller
seherde açan güller
gül için öten bülbüller

hak ismini anan diller
bilmem ne diyor ne diyor
hak ismini anan diller
bilmem ne diyor ne diyor

bir münadi nida eder
taksim olur gamu keder
bir münadi nida eder
taksim olur gamu keder

herkes korku ile gider
bilmem ne diyor ne diyor
herkes korku ile gider
bilmem ne diyor ne diyor

seherde açan güller
gül için öten bülbüller
seherde açan güller
gül için öten bülbüller

hak ismini anan diller
bilmem ne diyor ne diyor
hak ismini anan diller
bilmem ne diyor ne diyor

devrani der yoktur asam
dizim tutmaz ona basam
devrani der yoktur asam
dizim tutmaz ona basam

konuşulur türlü lisan
bilmem ne diyor ne diyor
konuşulur türlü lisan
bilmem ne diyor ne diyor

seherde açan güller
gül için öten bülbüller
seherde açan güller
gül için öten bülbüller

hak ismini anan diller
bilmem ne diyor ne diyor
hak ismini anan diller
bilmem ne diyor ne diyor

seherde açan güller
gül için öten bülbüller
seherde açan güller
gül için öten bülbüller

hak ismini anan diller
bilmem ne diyor ne diyor
hak ismini anan diller
bilmem ne diyor ne diyor
",ilahi,0.14,0.27,0.1,0.14,0.01,0.0,0.0,0.03
543,Ehlen Ve Sehlen Merhaba,"ey enbiyalar serveri
ey evliyalar rehberi
ey insucan peygamberi
ehlen ve sehlen merhaba

sen canların cananısın
dertlilerin dermanısın
alemlerin sultanısın
ehlen ve sehlen merhaba

allahü ekber şanühü
sultanehü sübhanehu
kad caena burhanehu
ehlen ve sehlen merhaba

sensin mahbubi hüda
etme şefaatten cuda
ahmet muhammed mustafa
ehlen ve sehlen merhaba

derviş yunus söyler sözü
dergahına sürer yüzü
severler mahşerde bizi
ehlen ve sehlen merhaba
",ilahi,0.1,0.11,0.0,0.0,0.08,0.13,0.0,0.22
544,Yarabbi Aşkını Ver Bana Efendim,"yarabbi aşkını ver bana efendim
yarabbi aşkını ver bana efendim
hu diyeyim allah allah döne döne

aşkın ile yana yana efendim
aşkın ile yana yana efendim
hu diyeyim allah allah döne döne

çağ he duşdüm yusuf gibi efendim
çağ he duşdüm yusuf gibi efendim
derde düşdüm allah allah eyyüp gibi
ağlayayım yakup gibi efendim
ağlayayım yakup gibi efendim
hu diyeyim allah allah döne döne

mevlam koma beni bana efendim
mevlam koma beni bana efendim
al gönlümü allah allah senden yana
müştakın oluben sana efendim
müştakın oluben sana efendim
hu diyeyim allah allah döne döne

seyret mizan okunur efendim
seyret mizan okunur efendim
i̇ster güldür allah allah ister öldür

aşkınla gönlümü doldur efendim
aşkınla gönlümü doldur efendim
hu diyeyim allah allah döne döne
",ilahi,0.05,0.18,0.0,0.0,0.02,0.0,0.0,0.05
545,Allahu Allah (1. Söyleyiş Şekli),"allahu allah allahu allah
allahu allah ya rahim allah
allahu allah allahu allah
allahu allah ya kerim allah

ömrün bitirmiş viranemiyem
aklın yitirmiş divanemiyem
ömrün bitirmiş viranemiyem
aklın yitirmiş divanemiyem

kanat vururum döner dururum
yanar kururum mestanemiyem
kanat vururum döner dururum
yanar kururum mestanemiyem

allahu allah allahu allah
allahu allah ya rahim allah
allahu allah allahu allah
allahu allah ya kerim allah

nefsimi bildim ölmeden öldüm
kapına geldim sultanım allah
nefsimi bildim ölmeden öldüm
kapına geldim sultanım allah

yaşlı gözlerim tutmaz dizlerim
yolun gözlerim biçaremiyem
yaşlı gözlerim tutmaz dizlerim
yolun gözlerim biçaremiyem

allahu allah allahu allah
allahu allah ya rahim allah
allahu allah allahu allah
allahu allah ya kerim allah

aşka can feda olsa ne fayda
aşk oku yayda kemanemiyem
aşka can feda olsa ne fayda
aşk oku yayda kemanemiyem

kalpler uyana aşkınla yana
can kurban sana sultanım allah
kalpler uyana aşkınla yana
can kurban sana sultanım allah

allahu allah allahu allah
allahu allah ya rahim allah
allahu allah allahu allah
allahu allah ya kerim allah


allahu allah 2 söyleyi̇ş şekli̇ i̇lahi̇si̇ni̇n sözleri̇ i̇lahi̇ler i̇lahi̇ sözleri̇

allahu allah
allahu allahu
allahu allah
allahu allah

ömrün bitirmiş
viranemiyem
aklın yitirmiş
divanemiyem

allahu allah
allahu allahu
allahu allah
allahu allah

nedir bu halim
artar melalim
söyle a zalim
biganemiyem

allahu allah
allahu allahu
allahu allah
allahu allah

kanat vururum
döner dururum
yanar kururum
pervanemiyem

allahu allah
allahu allahu
allahu allah
allahu allah

şaşırdım kaldım
bin bir renk aldım
doldum boşaldım
peymanemiyem

allahu allah
allahu allahu
allahu allah
allahu allah

yaşlı gözlerim
tutmaz dizlerim
yolun gözlerim
mestanemiyem

allahu allah
allahu allahu
allahu allah
allahu allah

halim söylenir
gör neler denir
herkes eğlenir
teranemiyem

allahu allah
allahu allahu
allahu allah
allahu allah

meczup sanırlar
mecnun tanırlar
hep aldanırlar
üryanemiyem

allahu allah
allahu allahu
allahu allah
allahu allah
aşki can feda
olsa ne fayda
aşk oku yayda
kemanemiyem

allahu allah
allahu allahu
allahu allah
allahu allah
",ilahi,0.11,0.17,0.02,0.01,0.03,0.0,0.0,0.31
546,Lebbeyk,"mekke şehri geldim sana
babüsselamı açsana
benim sevdam haktan yana
gelmişim lebbeyk demeye

beytullahım beytullahım
arz ettim sana günahım
cihanın tek kıblesisin
seni gördüm bitti ahım

beytullahım beytullahım
arz ettim sana günahım
cihanın tek kıblesisin
seni gördüm bitti ahım

büründüm beyaz ihrama
elveda dedim harama
bak gönlümdeki yarama
gelmişim lebbeyk demeye

beytullahım beytullahım
arz ettim sana günahım
cihanın tek kıblesisin
seni gördüm bitti ahım

beytullahım beytullahım
arz ettim sana günahım
cihanın tek kıblesisin
seni gördüm bitti ahım

gördüm kapkara örtünü
müminler sarmış önünü
hakka vermişsin yönünü
gelmişim lebbeyk demeye

beytullahım beytullahım
arz ettim sana günahım
cihanın tek kıblesisin
seni gördüm bitti ahım

beytullahım beytullahım
arz ettim sana günahım
cihanın tek kıblesisin
seni gördüm bitti ahım

beytullahım beytullahım
arz ettim sana günahım
cihanın tek kıblesisin
seni gördüm bitti ahım
",ilahi,0.12,0.26,0.08,0.0,0.0,0.01,0.0,0.01
547,Ey Aşıkı Dildare,"can allah canan allah
la ilahe illallah
muhammedur resulullah

can allah canan allah
canlar sana kurban allah
hay kalbim zikrullah
la ilahe illallah
muhammedur resulullah

ey aşıkı dildare
gel nuş edelim bade
bir bade gerek amma
kim içile me vade
bir bade gerek amma
kim içile me vade

can allah canan allah
canlar sana kurban allah
hay kalbim zikrullah
la ilahe illallah
muhammedur resulullah

bir kez içen aşıktır
aşkında ol sadıktır
aşk ona hem layıktır
mecnun ile ferhada
aşk ona hem layıktır
mecnun ile ferhada

can allah canan allah
canlar sana kurban allah
hay kalbim zikrullah
la ilahe illallah
muhammedur resulullah

i̇şit bu sezaiden
ne gördü fenaiden
dost yüzünü gösterdi
miratı mücelladan
dost yüzünü gösterdi
miratı mücelladan

can allah canan allah
canlar sana kurban allah
hay kalbim zikrullah
la ilahe illallah
muhammedur resulullah

can allah canan allah
canlar sana kurban allah
hay kalbim zikrullah
la ilahe illallah
muhammedur resulullah
",ilahi,0.11,0.08,0.02,0.01,0.04,0.05,0.0,0.11
548,Yunus Sen Burada Meydan İsteme,"yan yüreğim yan
gör ki neler var
bu halk içinde
bize gülen var

koy gülen gülsün
hak bizi bilsin
gafiller bilsin
hakkı seven var

bu yol uzundur
menzili çoktur
geçidi yoktur
derin sular var

her kim merdane
gelsin meydane
kıyamaz cane
kimde hüner var

yunus sen burda
meydan isteme
meydanlar içinde canım
merdaneler var
",ilahi,0.27,0.19,0.17,0.0,0.02,0.0,0.0,0.02
549,Kervanın Gam Çeker Bin Tığlık Atar,"kervanın gam çeker bin tığlık atar
ehli hak yolunda bir raha geldim
kervanından gam çeker bin tığlık atar
ehli hak yolunda bir raha geldim

derde derman ise mürşidim yeter
bu nefsi hayr ile ıslaha geldim ıslaha geldim
derde derman ise mürşidim yeter
bu nefsi hayr ile ıslaha geldim ıslaha geldim

şu gönlüm daraldı eyledir yardım
sefilem sel aldı deryana daldır
kebahir günahta kemale erdim
emmare yolunda ikraha geldim ikraha geldim
kebahir günahta kemale erdim
emmare yolunda ikraha geldim ikraha geldim

bülbül bir kuş iken gülü terk etmez
allah kapısından kulu merk etmez
bülbül bir kuş iken gülü terk etmez
allah kapısından kulu merk etmez
zerre günahıma kudretim yetmez
affu berat için bir şaha geldim bir şaha geldim
zerre günahıma kudretim yetmez
affu berat için bir şaha geldim bir şaha geldim

şu gönlüm daraldı eyledir yardım
sefilem sel aldı deryana daldır
kebahir günahta kemale erdim
emmare yolunda ikraha geldim ikraha geldim
kebahir günahta kemale erdim
emmare yolunda ikraha geldim ikraha geldim

masiva defterim sensiz silinmez
emirsiz abdine ihsan olunmaz
masiva defterim sensiz silinmez
emirsiz abdine ihsan olunmaz
kapından başka bir kapı bulunmaz
yüz yere vurmaya dergaha geldim dergaha geldim
kapından başka bir kapı bulunmaz
yüz yere vurmaya dergaha geldim dergaha geldim

şu gönlüm daraldı eyledir yardım
sefilem sel aldı deryana daldır
kebahir günahta kemale erdim
emmare yolunda ikraha geldim ikraha geldim
kebahir günahta kemale erdim
emmare yolunda ikraha geldim ikraha geldim

yokluktan var oldum her varım sensin
ağlarım dert ile efkarım sensin
yokluktan var oldum her varım sensin
ağlarım dert ile efkarım sensin
ezeli ervahta ikrarım sensin
ikrarı imana bir daha geldim bir daha geldim
ezeli ervahta ikrarım sensin
ikrarı imana bir daha geldim bir daha geldim

şu gönlüm daraldı eyledir yardım
sefilem sel aldı deryana daldır
kebahir günahta kemale erdim
emmare yolunda ikraha geldim ikraha geldim
kebahir günahta kemale erdim
emmare yolunda ikraha geldim ikraha geldim
",ilahi,0.12,0.28,0.03,0.03,0.01,0.0,0.0,0.08
550,Hak Yarattı Alemi Aşkına Muhammed’in,"hak yarattı alemi
aşkına muhammed’in
ay ü günü yarattı
şevkine muhammed’in

ol dedi oldu alem
yazıldı levh ü kalem
okundu hatmı kelam
şanına muhammed’in

yunus kime ede methi
över kur’an ayeti
au vergil salatı
aşkına muhammed’in
",ilahi,0.23,0.25,0.03,0.0,0.0,0.0,0.0,0.14
